Genes	E675_cell_1	E675_cell_2	E675_cell_3	E675_cell_4	E675_cell_5	E675_cell_6	E675_cell_7	E675_cell_8	E675_cell_9	E675_cell_10	E675_cell_11	E675_cell_12	E675_cell_13	E675_cell_14	E675_cell_15	E675_cell_16	E675_cell_17	E675_cell_18	E675_cell_19	E675_cell_20	E675_cell_21	E675_cell_22	E675_cell_23	E675_cell_24	E675_cell_25	E675_cell_26	E675_cell_27	E675_cell_28	E675_cell_29	E675_cell_30	E675_cell_31	E675_cell_32
A630001G21Rik	6.93	0	0	0	0	0	1.73	0	0	0	0	0	1.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.24	0	0	0	3.16
Acaa2	0.45	6.95	6.055	6.37	7.15	0	2.61	2.91	5.64	0	0	0	3.83	4.74	3.91	5.2	4.35	4.64	3.31	3.68	0	6.55	3.43	3.96	4.7	7.21	2.32	6.44	6.943	6.77	7.45	6.08
Adamts9	0	0	2.19	0	0	0	0	0	3.47	4.13	0	0	0	0	0	0	0	0.02	0	0	0	2.52	0	0	0	1.61	0	1.13	1.127	0	3.47	0.18
Adm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI661453	0	0	0.47	1.15	0	0	0	0	2.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	0	0	0	0
Anxa5	0	0	6.52	7.23	6.08	0	4.06	2.43	4.8	2.72	0	0.14	1.215	0	0	5.09	0	0	0	0	0	7.19	3.29	0	0	4.37	0	5.41	3.059	5.67	0	4.32
Apln	0	0	0	0	0	0	0	2.62	0	0.7	0	0	1.31	0	0	0	0	0	0	3.86	0	0	0	0	0	0	0.75	0	1.605	0	1.18	0
Apoa1	12.28	7.4	10.21	13.37	7.31	13.86	8.52	5.4	10.51	3.62	3.88	2.51	4.145	4.68	4.36	5.82	6.15	6.11	5.7	3.88	4.3456	10.81	3.68	4.1	1.95	11.73	5.11	11.01	11.733	10.93	7.62	10.5
Apoa2	0	0	0	5.59	0	0	4.15	2.25	5.72	2.99	0.57	2.49	1.125	3.11	5.68	4.52	4.97	4.99	4.37	0	0.6384	0	4.56	0	4.8	3.28	0	0	4.462	0	5.66	5.99
Apoa4	7.52	3.58	6.225	6.78	0.41	10.7	3.57	4.31	5.97	5.38	4.34	0.65	2.155	2.68	3.12	2.55	6.19	6.32	4.02	0	4.8608	7.08	0	0	0.56	6.7	0	6.03	7.351	5.74	8.58	8.52
Apoc2	12.19	5.18	6.04	7.79	6.25	11.03	3.73	6.07	8.28	6.38	5.15	3.69	6.065	5.97	7.1	4.98	7.97	8.02	5.66	4.57	5.768	6.35	4.56	5.83	5.72	7.77	0	6.02	9.402	5.5	8.48	9.22
Apoc3	0	4.2	0	5.72	0	0	0	3.9	2.37	0	0	0	1.95	0	3.49	0	0	0	0	0	0	0	0	0	0.99	5.46	0	0	5.751	4.66	0	1.01
Apom	10.43	4.93	7.72	10.82	5.76	12.12	6.07	2.15	7.69	5.33	4.13	0	1.365	4.11	3.42	0	6.87	7.25	6.7	2.54	4.6256	7.41	0	0	0	9.7	0	8.12	10.309	7.99	8.45	9.62
Arhgef26	0	1.4	5.065	2.06	0	0	1.95	2.33	5.79	5.21	1.63	2.23	2.29	0	3.78	0.48	1.43	3.15	0.02	1.83	1.8256	5.31	3.15	1.41	0.53	4.8	1.33	4.11	3.36	4.96	0	4.12
Axin2	1.09	0	0	0	0.08	0	0.5	0	0	3.17	0	0.82	0.395	0.82	0.84	0	0	0	0	0	0	0	0.37	0.08	0	1.48	0	2.63	1.309	0	0.14	0.49
Bend5	0	4.48	3.96	5.54	0	0	0.06	0	3.11	0	0	0	0	0.82	2.74	0.51	2	0	0	0	0	4.43	0	0	0	4.86	0.24	4.02	5.295	5.45	4.07	3.64
Bnip3	1.9	6.65	6.175	7.05	6.25	6.54	7.1	6.12	6.34	5.97	6.2	6.83	6.415	7.05	5.9	6.94	5.97	5.49	6.46	6.68	6.944	6.84	7.06	6.26	5.71	6.18	6.57	4.5	6.765	4.98	9.5	5.57
Car7	7.87	1.44	2.125	4.68	0	0	0	2.52	0	0	0	0	1.26	0.7	0.69	0	4.2	3.91	5.05	0	0	0.18	0	4.44	0	0	0	0	2.568	0	2.7	3.97
Ccno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd40	0	0	2.035	5.02	0	8.23	0	0	3.9	0	0	0	0	0	0	0	0	0	0	0	0	4.07	0	0	4.85	4.82	0	0	3.374	2.49	0	3.33
Cda	0	5.08	0	0	4.76	8.73	4.83	0	0	2.93	0	0	0	0	4.43	0	0	3.31	4.8	0	0	0	4.28	0	0	4.17	0	0	2.919	0	0	2.17
Cdh5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfc1	0	5.85	6.175	7.92	4.73	9.51	3.68	0	2.72	6.69	0.19	0	0	0	0	0	0	4.25	0	0	0.2128	6.97	0	0	0	5.75	0	6.47	6.035	4.08	0	3.87
Cited1	0	9.62	8.27	8.56	5.61	6.4	4.38	5.56	6.57	4.26	5.14	0	5.16	5.57	5.44	4.04	7.69	8.15	7.54	4.49	5.7568	7.72	4.94	3.76	4.08	7.56	0	6.8	8.37	8.31	13.16	9
Cldn4	0	0	0	0	1.47	0	3.04	4.14	0	0	5.61	3.11	2.07	4.24	0	0	0	4.52	0	4.83	6.2832	0	2.52	4.66	0	0	5.28	0	0	0	0	0.51
Cmtm8	0	6.55	6.145	6.45	4.12	9.36	5.21	4.56	6.28	0	3.4	0	4.39	5.8	4.57	0	3.3	1.42	6.07	3.61	3.808	7.23	5.41	2.64	5.63	6.82	5.18	5.57	5.923	6.03	6.16	6.6
Cpa2	0	0	4.49	4.61	0	0	2.4	0	3.54	0	0	0	1.865	0	0	0	0	0	0	0	0	4.91	0	0	0	5.77	3.62	5.17	4.039	4.81	0	4.79
Crabp2	3.97	0	0	0	0	0	4.48	4.84	0	0	7.48	5.89	5.315	4.46	1.39	6.17	4.29	6.24	6.91	7.33	8.3776	0	5.17	4.25	0	0	5.66	0	2.238	0	0	0
Crb3	0	4.14	7.01	7.28	4.8	7.12	5.14	5.22	6.77	1.83	6.5	5.42	5.03	4.84	5	0	4.44	6.79	5.34	4.66	7.28	7.6	3.12	6.09	4.82	6.49	4.03	6.7	6.508	6.97	7.27	6.73
Cts7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxx1a	3.62	3.74	2.92	3.67	0	0	2.83	4.44	3.78	3.65	3.2	3.24	3.915	2	3.5	1.5	4.25	3.74	0	1.47	3.584	2.91	1.76	2.31	0.92	0	3.14	1.75	0.747	1.37	0	3.14
Cxx1b	0.56	3.6	1.85	4.08	0	0	3.29	4.72	2.43	3.27	1.96	3.99	4.26	3.7	3.29	3.44	2.51	4.52	0.13	2.15	2.1952	1.99	1.88	1.49	2.31	1.56	0.69	0.51	1.2	1.41	0	3.25
Cxx1c	8.48	1.21	1.17	0.65	0	0	0.67	1.91	2.59	5.31	0.72	3.89	2.56	0.38	0.67	0	1.57	1.37	0	0.49	0.8064	0.81	0.22	0	0	4.77	0.91	0	4.005	3.7	0	0.59
Cyba	8.19	4.86	6.295	7.25	6.76	5.41	4.28	5.41	6.62	6.52	4.92	0	5.255	3.93	5.09	5.31	6.27	6.72	5.08	4.22	5.5104	7.14	4.48	4.16	5.66	7.51	0	7.04	8.407	5.55	4.64	8.5
Dact1	0	0	0	0	0	0	0.03	0	3.46	4.16	3.36	0	1.69	1.97	0	4.28	0	1.38	0	0	3.7632	0	0	0.05	0	0	0	2.39	0	0	0	0
Ddit4	0	0	0.595	6.37	5.74	0	5.35	1.18	3.19	0	4.42	2.78	0.59	4.88	4.29	5.74	4.01	2.38	0.99	3.26	4.9504	1.19	0	0.52	2.05	0	2.55	0.95	0	0	4.6	0
Dpp7	7.6	3.19	2.825	3.86	5.4	9.58	2.76	2.37	3.72	3.51	3.62	4.14	2.65	2.36	3.81	0	0.07	3.18	4.19	2.83	4.0544	2.34	3.85	0.23	4.34	0	0	3.63	1.698	3.13	6.96	2.29
Efna3	7.56	1.25	4.21	0	0	0	0	0	0	0	0	0	0	0	5.26	0	0	0.69	3.63	0	0	4.07	0	0	0	0	0	0	0	0	4.59	0.16
Efnb1	5.47	1.1	1.7	3.96	0	8.9	0.3	0	1.31	0.98	0	0	0	0.47	0.52	0.08	1.42	0.38	0.76	0	0	1.2	0	0	0	0	0	0.99	1.464	1.14	5.46	4.18
Elovl1	0	4.85	5.415	4.4	5.86	8.61	2.88	3.27	5.57	2.96	0	3.47	3.245	2.94	3.16	4.98	0.02	2.28	2.39	5.31	0	6.45	4.02	0	2.18	6.49	0	4.83	6.613	5.23	6.16	5.58
Enc1	0	3	0	0	2.89	0	4	2.41	2.75	2.92	0	3.38	3.575	3.7	5.51	4.52	3.67	2.82	5.23	5.18	0	0	3.18	3.28	5.24	0	4.32	0.79	0.153	2.87	5.75	0.99
Eomes	0.95	4.22	4.745	4.03	4.96	2.77	3.46	3.33	4.99	5.62	2.99	2.87	3.695	0	3.09	0.07	0.01	1.83	0	3.53	3.3488	5.46	3.41	0	0	5.4	0.5	5.9	3.9	5.55	3.89	5.47
Epha2	6.38	3.68	0.03	0	0	0	1.96	2.67	3.42	4.2	0.56	3.21	3.415	3.73	4.04	0	0	0	0	3.07	0.6272	0.06	0.04	4.08	3.86	3.22	2.81	3.71	2.254	4.33	0	2.89
Ephb3	0	0	3.545	0	0	0	0.09	1.85	2.12	1.56	0	0	2.195	1.88	0	0	0	0	3.95	1.45	0	4.48	0	4.02	0	3.56	0	1.38	2.492	0.09	4.34	3.24
Fabp3	0	0	1.765	5.71	0	0	3.41	5.99	6.49	4.56	5.44	5.73	5.635	3.06	6.27	5.7	6.29	8.99	7.2	5.63	6.0928	3.53	4.49	6.44	5.2	4.76	4.79	4.75	6.005	3.16	12.19	8.35
Fgf4	0	0	0	0	0	0	1.34	0	0	0	0	0	0.095	0	3.57	0	0	0	0	0	0	0	0	4.05	2.65	0	2.67	0	0	0	0	0
Fgf8	0	0.38	7.615	0	0	0	3.53	0	7.88	7.69	0	0	2.97	0	2.43	0	3.26	2.96	3.63	0	0	7.94	0.2	3.38	0	8.94	0	8.62	6.258	8.08	0	7.26
Flot1	7.67	5.24	4.37	4.07	0	0	3.04	2.03	4.44	1.35	4.96	0	1.015	0	0	0	0	0.18	5.73	4.09	5.5552	5.28	3.58	0	0	3.79	4.21	3.63	2.983	4.67	6.16	0
Foxa2	0	4.22	5.98	2.53	0	0	4.02	0.71	6.6	6.12	0	0	0.355	0	0	0	1.51	3.69	0	0.41	0	5.77	0	0	0	6.54	0	5.78	5.559	6.32	5.62	5.89
Frzb	0	2.21	2.585	0	0	0	2.76	0	6.88	6.19	0	0	0	0	0	0	1.04	0	1.34	0	0	5.17	0	2.76	0	4.79	0	4.49	3.992	5.27	7.95	5.04
Fst	0	0	0	0	0	0	0	0	0	2.95	0	2.36	1.275	0	0.54	0	0	0.39	0	2.15	0	0	3.71	0	0	0	0.35	0	0	0	6.86	0
Fxyd2	0	0	0	4.55	0	0	0	0	0	0	0	0	2.35	0	3.18	0	6.4	0	0	0	0	0	0	0	0	0	0	0	2.508	0	0	5.3
Fxyd5	0	0	0	0	0	0	0	0	0	0	0	0	0.845	0	0	0	0	4.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gadd45b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98	0	0	0	0	0	0	0	0	3.82	0	0	4.21	3.57
Gdap10	1.57	0	0	0	2.58	0	3.34	2.7	0	0	0	0	2.895	1.85	4.34	0	0	3.16	1.61	0	0	0	0	3.99	0	1.76	3.42	0	1.232	0	4.49	0
Gm129	0	0	1.43	0	0	0	4.57	0	0	1.22	1.58	4.8	1.67	3.86	4.06	0	0	2.9	0	0.48	1.7696	0	4.11	0	5.24	0	0	2.67	1.575	0	0	0
Gm5795	0	0	0	0	1.42	0	0.25	0.67	0	0	0.55	0	0.525	0	0.66	0	0.26	0.89	1.44	1.44	0.616	0	0	0	0	0	0.51	0	0	0	0	0
Gm5797	0	0	0	0	0	0	0	1.58	0	0	0	0	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gngt2	0	0	0	0	0	0	4.28	3.73	0	0	6.34	4.19	1.865	4.59	3.47	0	0	4.59	4.58	4.41	7.1008	0	5.8	4.85	0	0	4.64	0	0	0	0	0
Gnmt	0	0	0	0	0	0	0	0	0	0	5.11	0	0	0	3.77	0	0	0	4.36	0	5.7232	0	0	0	0	0	0	0	0	0	0	0
Grem2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grp	0	0	0	0	0	0	2.93	3.2	0	0	0	0	2.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Grrp1	0	0	0	0	0	0	0	0	0	5.16	0	0	0	1.43	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89	0	0	0	2.85
Grtp1	3.41	4.5	2.425	6.37	0	0	2.68	1.74	0	3.77	0	0.28	3.245	0	3.18	0	4.9	4.53	3.37	5.09	0	4.85	1.07	0.44	0	3.13	3.32	2.83	4.093	1.34	6.38	4.48
Gsc	0	1.3	6.365	4.55	5.03	0	2.3	2.27	7.09	7.67	0	0	2.635	0	0	0	3.12	0	0	0	0	6.38	0	0	0	6.59	0	6.14	4.613	6.58	0	6.43
Has2	0	4.78	0.03	6.2	0	4.23	1.36	1.68	0.75	0	0.11	2.25	0.94	1.2	2.01	0	0	0.01	1.62	0	0.1232	0	0.61	0.08	0	0	2.96	2.14	0.168	0	0	0
Hnf4a	0.73	6.4	4.35	6.5	0.15	5.92	3.61	0.07	4.59	0	0	0	0.035	1.66	0.79	0	0	0	0.61	0	0	4.68	0.16	0	0	3.88	0	4.77	4.285	0.25	4.42	3.02
Hsd17b2	0	0	0	5.84	0	0	0	0	0	0	1.37	0.84	0	0	0	0	0	0	0	0	1.5344	0	0	0	0	3.98	0	0	4.613	0	0	3.74
Htr3a	0	0	0	0	0	0	0	3.79	0	3.91	3.68	0	1.895	3.7	0	0	4.37	3.68	0	0	4.1216	0	2.55	0	0	0	0	0	0	0	0	0
Id1	10.97	9.34	2.295	9.43	6.74	7.3	6.66	4.27	7.4	5.84	0	3.52	2.135	0	1.69	0	1.72	4.57	3.4	0.9	0	0	3.87	3.59	0	5.05	0	8.07	6.229	0	8.42	4.74
Id2	10.08	0.91	2.33	5.91	6.54	9.13	5.5	4.65	5.27	3.38	6.8	2.58	4.565	5.48	3.9	2.97	4.39	3.04	3.59	4.74	7.616	0	0.22	3.57	0	0	3.76	3.95	2.577	0	4.57	5.58
Ier3	0	0	0	0	5.13	0	2	1	0	0	0	4.52	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11	0	0	7.06	0.19
Ifi27l2a	0	0	0	0	0	0	2.59	3.28	0	0	0	0	3.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klk13	0	0	0	0	0	0	2.96	2.68	0	0	0	0	1.34	0	0	1.87	0	0	0	4.01	0	0	0	0	0	0	3.48	0	0	0	0	0
Krt7	0	1.65	5.92	4.25	5.43	0	1.34	1.15	5.44	4.88	0	0	1.395	4.24	0	0	3.03	1.61	4.24	2.52	0	6.66	3.16	0	0	4.88	0	3.67	3.416	8.03	0	5.9
Lama1	0	0	2.335	1.84	0	4.36	0.39	0.12	2.12	1.03	0	0.28	0.815	0.06	1.37	0	3.28	0.41	1.79	1.52	0	3.22	0	0.04	0	2.47	0.56	1.56	2.593	3.12	7.28	3.61
Lamc1	0	3.05	4.47	3.44	5.48	6.42	3.11	2.56	5.22	3.72	2.38	3.19	2.55	0	2.58	0	3.52	0.23	2.87	0.42	2.6656	4.12	3.07	2.39	3.37	4.01	1.52	4.37	3.857	5.91	6.81	5.65
Lat	0	0	0	0	0	0	0	1.98	0	0	0	0	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26	0	0	0	0	0
Leap2	0	5.42	0	2.29	0	0	0	0	0	0	0	1.98	0	0	0	0	0	0	3.37	0	0	0	0	0	0	0	0	0	1.989	3.4	0	0
Lect2	7.9	0	2.61	5.5	0	0	2.45	0	5.03	0	0	0	0	0	0	0	0	0	0	0	0	5.22	0	0	0	7.24	0	4.06	6.793	6.92	5	6.13
Lefty1	0	0	7.58	0	5.89	5.4	4.54	0	9.14	8.24	0	0	1.75	2.37	0	0	5.69	0	0	3.19	0	7.78	0	0	4.61	5.43	0	7.79	3.801	7.57	0.69	8.47
Lefty2	0	0	0	0	0	0	0	0	0	0	0	0	3.12	3.08	0	0	4.91	2.71	0	0	0	0	0	0	4.31	0	0	0	0	0	0	0
Lgals2	0	0	5.15	6.71	0	0	3.41	0	0	0	0	0	0.64	0	1.28	0	4.34	5.28	0	0	0	5.96	0	0	0	0	0	0	2.673	3.61	4.79	5.82
Lxn	0	5.31	5.925	8.18	0	8.2	4.35	3.91	6.16	4.42	0.18	0	1.955	0.81	0	0	5.43	4.06	4.66	5.27	0.2016	5.95	0	0	0	4.91	0	5.96	6.047	4.01	8.33	6.04
Ly6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lypd6b	0	0	1.965	0	0	0	3.81	4.66	2.27	0	0	0	3.42	5.08	0	0	0	3.61	3.59	0	0	0	5.28	4.38	0	4.66	0	4.6	3.262	0	0	0
Mesp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mfng	0	0	0	0	0	0	3.33	0	0	0	3.16	3.93	0	0	2.36	0	0	4.45	4.92	3.61	3.5392	0	0	0	0	0	1.59	0	0	0	0	0
Mgp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mixl1	0.53	7.36	6.525	5.21	0	7.74	0	0	6.41	10.11	0	0	0	0	0	0	0	0	0	0	0	5.56	2.3	0	0	8.1	0	6.84	5.67	7.64	0	6.47
Mmp9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa7	0	0	1.68	0	5	0	0.52	0.11	3.33	0	0	0	0.085	0.16	0	0.93	3.62	2.26	0.12	0	0	0	0	0	0	0	0	0.94	0	3.04	0.22	2.03
Nefl	0	0.46	2.775	0	0.33	0	2.61	5.34	0	2.39	0	3.55	5.25	0	3.41	0	2.46	4.33	3.26	0	0	0.73	3.65	3.76	5.28	3.34	4.11	0	3.964	0	9.37	0
Nefm	0	0	0	1.08	0	0	0	0	0	1.62	0	0	0	0	0	3.99	1.87	0	2.87	0	0	0	0	0	0	0	0	0	1.248	1.25	1.95	0.59
Nid1	0	3.12	1.63	4.66	0	5.69	1.38	0	4.83	0	0	0	0.525	0	3.46	0	2.11	0	0.77	0	0	3.2	0	0.61	0	4.53	0.82	3.16	3.171	2.82	4.15	4.21
Ninj2	0	0	0	0	0	0	0	0	0	0	0	0	1.89	0	0	0	0	0	0	0	0	0	0	0	0	5.66	0	3.94	3.962	0	0	4.79
Nodal	0	0	5.545	4.52	0	0	3.97	5.14	7.52	4.38	0	2.86	5.91	3.46	5.02	2.31	0.01	0.03	0	0	0	6.75	5.24	5.28	0	6.75	0	7.26	4.725	7.76	0	6.77
Npl	8.5	5.82	6.455	6.33	0	0	4.24	3.99	6.24	5.36	0	0	3.84	0	4.08	0	5.06	5.75	2.57	0	0	6.18	0.47	0	0	5.9	0	5.84	6.521	6.77	8.47	7.41
Nppb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfm1	0	4.39	0.38	0.2	0.25	0	1.41	0	0	0	0	1.55	0	1.66	0	0	3.6	0	2.38	0	0	0.76	0	3.48	0.63	1.45	3.55	4.59	1.015	0	0	0
Olfr613	3.99	0.06	0.425	1.14	0.9	2.97	0.51	0.48	0.89	0.91	1.04	0.38	0.415	0.7	0.72	0.09	0.04	0.61	0.43	0.69	1.1648	0.18	0.1	0.91	0.74	0.79	0.08	0.82	1.261	0.21	0	0.31
Olig1	0	0	0	0	0	0	0	0	0	3.15	0	0	0	0	0	0	3.46	0	0	0	0	0	0	3.22	0	0	0	0	0	0	0	0
P4ha2	0	0	0	0	0	7.68	2.74	2.88	0	0	0	4.12	2.41	4.33	0	0	0	3.39	3.79	0	0	0	3.74	3.25	0	1.49	0	0	1.043	4.22	5.23	0
Pcbd1	7.83	7.41	8.1	8.97	0	8.87	5.64	5.48	7.93	4.92	5.96	4.44	4.49	0	5.44	0	0.05	5.77	4.81	5.03	6.6752	8.15	5.59	3.87	5.08	8.01	2.75	8.37	8.28	7.77	6.66	8.19
Pdgfa	0	0	1.77	0	0	0	0	0	0	0	0	0	0	3.69	0	0	0.03	3	2.43	0	0	0	3.48	0	3.88	0	0	3.26	1.278	0	0	0
Pdlim4	0	3.5	0	0	0	0	0	2.98	0	0	4.5	0	2.385	3.62	3.93	0	0	3.53	0	0	5.04	0	0	0	0	0	0	0	0	0	0	0
Pfpl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phyh	8.1	7.55	7.6	8.99	6.72	6.64	5.76	4.63	7.61	5.3	5.73	4.94	4.795	4.54	3.87	4.91	2.17	4.95	0	5.66	6.4176	7.23	4.09	5.32	6.27	7.86	1.42	7.8	7.992	7.52	0	6.26
Pitx2	0	5.12	5.66	5.91	0	7.5	2.52	0	6.91	0.99	0	2.57	1.47	1.49	0	0	5.52	3.69	0.37	3.19	0	4.99	0	0.44	0	5.16	0	6.64	5.625	3.55	4.47	4.52
Pkdcc	0	2.46	5.26	1.33	4.66	0	3.37	1.06	5	5.34	0	1.05	0.53	0	3.21	0	0	2.5	0	0	0	5.11	3.2	0	2	5.7	0	5.86	5.334	4.94	0	4.84
Plod2	0	2.65	0.235	3.75	0	0	1.72	0.94	4.29	3.63	3.85	4.21	2.065	3.54	2.59	0.78	3.43	3.31	0.24	2.66	4.312	0.47	2.13	0.19	2.14	4.37	3.41	1.81	5.027	0	7.97	3.83
Pold4	0	0	0	6.42	0	0	2.19	0	3.83	0	0	0	0	0	5.13	0	0	3.85	0	0	0	0	0	0	0	0	0	0	0	0	5.98	0
Pou3f1	3.35	0	0.17	0	4.08	0	3.9	4.28	2.16	2.65	4.06	4.73	4.465	4.43	5.44	3.64	4.38	3.56	4.63	4.53	4.5472	0	2.88	5.15	5.32	0.91	4.06	0	1.447	0	2.18	0.63
Ppp1r14a	0	0	0	0	0	0	2.54	0.93	0	2.94	5.33	0	2.655	0	4.26	5.2	0	0	5.11	4.15	5.9696	0	4.15	6.31	0	0	0	0	0	0	0	0
Prickle1	0	0	3.235	0	1.74	0	2.25	3.46	0.29	3.06	0	3.04	1.765	2.7	3.24	4.25	4.08	0	0.09	3.65	0	4.62	0.24	0.13	0	3.63	0	3.64	2.541	4.6	0	4.3
Prl2c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl3d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl3d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl3d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl5a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prl7a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prrg4	5.15	0	3.09	0	6.81	7.64	3.97	2.84	1.99	3.22	4.36	4.75	3.245	4.18	5.11	0	0.02	2.47	6.04	4.59	4.8832	5.78	5.02	5.67	5.65	3.55	4.46	3.09	2.485	5.08	3.55	3.42
Psg22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psg29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
