Genes	1AP	2A	3A	4A	5A	6A	7A	8A	2P	3P	4P	5P	6P	7P	8P	2EA	2EP	3EA	3EP	4EA	4EP	5EA	5EP	6EA	6EP	7EA	7EP	8EA	8EP
Krt7	1	2.4	2.3	1.7	1.1	2.4	2.3	2.2	1.7	1.48	1.25	1.4	0.6	2.6	0.6	2.6	3.3	3.7	2.6	3.7	2.6	3.7	2.6	1.1	0	2.6	0	1.1	0
Lama1	0.2	0.1	0.2	0.1	0	0	0	0.1	0.26	0.15	0	0	0.1	0.2	0	4.2	5.5	2.6	3.3	2.9	4.1	3.1	4.9	2.1	2.7	1.4	0.2	2.3	1.2
Lamc1	0.8	1.5	1.5	1.8	2.1	2.2	1.6	2.3	2.07	2	1.93	2	1.8	2	2	4.6	5.6	2.7	3.7	3.2	4.3	3.7	4.8	3.1	3.2	2.6	2.1	3.5	1.8
Lat	2.5	0	1.3	0.9	0.4	0.4	0.9	1.6	0.11	0.38	0.68	0	0	0	0.8	0	0	5.2	3.5	2.6	1.8	0	0	0	0	1.9	0	0	0.5
Leap2	0	0	0	0	0	0	1	2.7	0	0	0	0	0	0	0	0	4.7	0	0	2	0	3.9	0	0	5.1	4.9	4.7	6.3	6.4
Lect2	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.6	0.6	3.1	1.1	3.9	5.1	4.2	2.7	3.6	5.6
Lefty1	2.3	2.5	0.3	0.8	1.2	2.6	0.7	2	3.13	2.98	2.6	3.5	2.2	2.6	1.5	5.3	0	5	0	4.7	0	4.3	0	3.3	0.3	0.8	0	0.6	0
Lefty2	1.1	1.8	1.6	1.9	2.2	2.3	2.1	3.3	3.37	3.75	3.98	4.5	4.5	3.4	5.2	0	0	1.9	0	1	0	0	0	0	4.3	0.3	4.7	0	4
Lgals2	0	0	0	0	0	0	0	2.1	0.06	0.2	0.2	0.8	1.4	3.4	2.3	0	0	0	0	0	1.8	0	3.6	0	3.8	3.7	5.6	4.7	7.1
Lxn	0	1.1	1.8	1.5	1.1	1.4	2.5	3.2	0.86	0.53	0.3	0	2.2	2.1	3.3	2.2	0	0	0	1.3	1.3	2.6	2.6	3.6	5.7	4.1	4.9	5.3	6.1
Ly6a	0	0	3.8	3	2.1	0	0	2.3	0	0	0	0	0	0	2.6	0	0	0	0	0.5	0	1	0	0	0	3	0	0	1.4
Lypd6b	1.6	1.5	2.5	2.7	2.8	2.8	1.6	0	2.42	1.78	1.18	1.1	0	0.2	0	2.3	0	0	0.8	1.1	0.4	2.2	0	2.2	0	0	0	0	0
Mesp1	0	0	0	0	0	0	2.8	4.5	0.19	0.63	0.78	1.9	5.7	6.5	7.5	0	0	0	0	0	0.5	0	0.9	0	5.9	0	7.2	0	6.7
Mfng	1.8	1.1	2.8	2	1.2	1.8	0.9	1.8	0.71	0.5	0.28	0.5	0	0.7	0.2	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0
Mgp	0	0.8	2.5	2.6	2.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0
Mixl1	0	0	0.6	0.4	0.2	0.4	3.2	4.8	2.74	4	4.53	7	8.3	7.3	7.5	3.3	4.3	1.6	4.4	1.4	4.9	1.1	5.4	2.8	6	1	6.4	2.4	6.1
Mmp9	0.3	0	0	0	0	0	0.5	1.1	0.02	0.08	0.08	0.3	0	0	0.7	0	2.2	2.2	0	2.2	1.5	2.2	2.9	0	0	1	0	0	0
Ncoa7	1	0.2	0.7	1	1.3	0.8	0.8	0.5	1.06	1.2	1.35	1.2	0.6	1.2	1.7	0.7	2.8	2.7	2	2.3	2.5	1.9	3	0	1	1.6	0.1	1	0.7
Nefl	2.7	3.1	3.3	3.2	3.1	4	4.5	4.5	4.82	5.33	5.78	5.7	5.7	5.9	5.4	3.2	2.2	0	3.1	0	2.3	0	1.5	1.8	2.7	0	3.4	0	3
Nefm	1.2	1.9	1.5	1.4	1.3	1.9	2.6	1.9	2.7	3.15	3.6	3.3	3.2	3.7	3.2	0	0	0	0.3	0	0.2	0	0	1.1	1.5	0.2	1.5	0.1	0.9
Nid1	0.3	0	0.7	0.4	0.1	0	0	1.4	0.3	0.3	0.23	0.3	0.2	0	0	3.1	5.6	2.1	3.7	2.7	4	3.2	4.3	3.4	2	2.1	1.5	2.7	1.5
Ninj2	0	0	0	0	0	0	0	0	0.28	0.93	1.38	1.6	3.1	0.6	2.1	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0
Nodal	2.4	1.9	2.4	2	1.6	4.1	3.4	4.9	4.53	4.6	4.6	4.6	5	5	4.1	2.2	0.8	1.7	1.8	2.1	2.6	2.5	3.3	3.2	4.5	1.3	4.1	1.7	3.9
Npl	1.9	0	0	0	0	0.6	0.6	1.2	1.72	1.05	0.3	1.2	1.9	3	1.9	0	0	1.4	1.9	0.7	2.6	0	3.2	3.8	6.8	3.7	5.9	5.8	6
Nppb	2.4	0	0.7	0.4	0	0.6	0	0	2.05	1.45	0.55	2.2	0.8	0	1.2	0	7.2	5.5	4.2	6	4.5	6.4	4.8	2.2	0	0	0	0	0
Olfm1	1.1	2	2.4	2.4	2.3	1.8	2.5	2.5	1.53	1.83	1.98	2.5	1.8	2.7	1.9	0	2.2	0	0	1.9	0	3.8	0	4	3.7	4.2	4.4	5.1	4.5
Olfr613	4	2.6	2.6	2.8	2.9	2.2	2	2.3	2.73	2.58	2.43	2.2	2.2	1.6	1.7	2.8	3.6	4.3	4.5	4	4.1	3.7	3.6	3.3	2.3	2.4	2.2	2.2	2.5
Olig1	0	0	0.2	0.4	0.6	0	1.1	2.5	1.41	2.13	2.73	2.8	3.2	3.1	2.8	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0
P4ha2	0.7	1.3	1	1.2	1.4	2.1	0.5	1	0.49	0.7	0.78	1	1.8	0.2	2	3.9	5.7	2.3	3.7	2.9	4.1	3.5	4.4	1.3	2.6	0.3	0.6	1.8	0.3
Pcbd1	2.9	4.6	4	3.8	3.5	4.4	4.8	4.7	4.42	3.78	3.25	2.8	4.2	4.8	4.2	1.9	0	0	4.4	2.1	5.2	4.1	6	4.3	6.4	5.8	6.1	6.9	7.5
Pdgfa	0	0.8	0	0.9	1.7	0.8	3	3.9	0.85	1.9	2.65	3.4	4.5	4.3	4.7	0	0	0	0	0.5	0	0.9	0	0	4.5	3	4.2	1.6	2.8
Pdlim4	0	2	0	0.2	0.4	0.7	1.3	2.1	1.72	2	2.08	2.9	3.6	3.3	3.8	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0
Pfpl	0	0	0	0	0	0	0	0	0.02	0.05	0.05	0.2	0	0	0	1.5	3.6	2.1	0	1.8	1.7	1.5	3.4	0	0	0	0	0	0
Phyh	2.4	2.8	4	3.3	2.6	3.3	3.8	4.2	3.05	3.4	3.63	3.7	3.6	1.9	3.4	0	0	0	0	2.2	0.6	4.3	1.2	3.3	4.2	5.8	5.6	6	4.6
Pitx2	0.9	2.4	0.3	0.4	0.5	1.6	2.8	3	3.11	2.9	2.6	2.9	3.4	3.4	3.5	0	0	0	3.5	1.2	3.3	2.3	3	2.8	0.3	1.2	3.5	0.9	3.1
Pkdcc	2.5	2.3	2.4	2.4	2.3	3.4	2.9	3.1	3.97	4.35	4.58	5.1	5.6	4.5	4	3.4	2.2	3.7	3.6	3.6	3.4	3.4	3.2	4	5.2	2.9	4.1	3.6	3.5
Plod2	1.9	2.2	2.3	2.5	2.6	2.7	2.2	2.8	2.57	2.28	1.98	2.2	2.4	2.1	2.4	4.7	4.8	2.2	3.1	2.6	4.2	3	5.3	3.3	3.2	2.5	0.8	3.6	1
Pold4	0	0.5	2.7	1.4	0	0	2	1.1	2.1	2.1	2.1	1.8	2.3	3.5	2.7	0	0	0	2.4	0	1.2	0	0	0	3.8	0	2.3	0	0
Pou3f1	4.9	5.5	5.2	5.4	5.5	5.1	5.4	5.1	4.71	4.28	4.13	2.7	2.2	3.6	3.5	3.9	1.5	3.7	0.9	2.6	0.5	1.4	0	3.7	1.5	3.2	0.8	0	0
Ppp1r14a	1.5	4.7	4.9	4.5	4.1	4.5	3.9	3.9	2.69	2.43	2.28	1.9	4.1	3.4	3.3	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0
Prickle1	1.3	1.1	1	1	0.9	2	2.7	2.4	1.89	2.55	2.93	3.6	3.2	3.1	3.7	0	0	0	1	0	0.8	0	0.5	0.2	1.1	0	1.1	1.3	0.8
Prl2c2	1.7	0	0	0.6	1.1	0	0	0	0.05	0.15	0.15	0.6	0	0	0	0	2.4	0	0	1.9	2.2	3.7	4.3	2.6	0	0	0	0.6	0
Prl3d1	5.2	0	0	0	0	2	0.5	1.6	2.88	2.83	2.45	3.8	0	0.9	0	5.5	10.2	7.3	4.9	8.6	6.8	9.8	8.7	4.6	5	1.3	2.6	3.9	1.1
Prl3d2	2.7	0	0	0	0	0	0.6	0	0.98	1.85	2.53	2.9	0	1.7	0	2.7	8.1	4.2	4	6	5.5	7.8	6.9	3.4	1.2	0	2.1	1.1	0
Prl3d3	3.1	0	0	0	0	0.6	0.6	0.9	0.37	1.23	1.9	2.2	0	0	0	3.6	7.6	4.2	1.9	6.1	4.7	7.9	7.5	1.5	0	0	2.4	2.3	0
