Cell	Celltype	Location_Smooth	X	Y	Z	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_7425	Epiblast	2A	-1.40E+00	-4.58E-01	1.89E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5577	Epiblast	2A	-1.10E+00	9.09E-01	1.96E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5467	Epiblast	2A	-1.10E+00	-1.40E+00	1.64E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6216	Epiblast	2A	-1.24E+00	2.38E-01	1.76E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_6745	Epiblast	2A	9.16E-01	-1.67E+00	2.35E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6527	Epiblast	2A	4.31E-01	-6.10E-01	1.79E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6996	Epiblast	2A	-1.03E+00	-1.25E+00	1.63E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7100	Epiblast	2A	-1.79E+00	1.14E-01	1.56E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5914	Epiblast	2A	-1.82E+00	-4.78E-01	2.25E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6263	Epiblast	2A	-4.86E-01	-1.17E+00	2.29E+00	0	1	0	0	0	0	0	0	0	0	1.58	1
cell_6295	Epiblast	2A	-1.36E+00	3.23E-01	2.21E+00	0	2	0	0	0	0	0	1.58	0	0	1.58	1
cell_6585	Epiblast	2A	4.06E-01	-6.80E-01	2.04E+00	0	3.46	0	0	0	0	0	0	0	0	0	1
cell_6797	Epiblast	2A	-2.89E-01	-9.60E-01	1.68E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7498	Epiblast	2A	-7.08E-01	-1.66E+00	2.10E+00	0	2.32	0	0	0	0	0	1	0	0	0	1
cell_7532	Epiblast	2A	4.01E-01	-1.89E+00	1.57E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6145	Epiblast	2A	-1.52E+00	-3.88E-01	2.14E+00	0	2	0	0	0	0	0	0	0	0	1	1
cell_6330	Epiblast	2A	-1.54E+00	-8.14E-01	1.66E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7205	Epiblast	2A	-9.36E-01	-1.14E+00	2.11E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7245	Epiblast	2A	2.30E-01	-1.75E+00	2.33E+00	0	1	0	0	0	0	0	1	0	0	0	1
cell_7253	Epiblast	2A	-1.15E+00	3.86E-01	2.49E+00	0	1	0	0	0	0	0	1	0	0	0	1
cell_5717	Epiblast	2A	4.64E-01	-1.53E+00	2.12E+00	0	3.17	0	0	0	0	0	1	1	0	3	1
cell_7290	Epiblast	2A	-2.42E-01	-1.01E+00	2.10E+00	0	1	0	0	0	0	0	1	0	0	1.58	1
cell_7029	Epiblast	2A	-1.45E+00	-6.99E-01	2.07E+00	0	1	0	0	0	0	0	2.32	1	0	3.58	1
cell_7206	Epiblast	2A	-1.96E+00	-1.67E-01	1.84E+00	2	1	2.32	0	0	0	0	2	0	0	2.81	1
cell_7595	Epiblast	2A	1.38E-01	-9.23E-01	1.61E+00	0	1	0	0	0	0	0	0	0	0	2.58	1
cell_6016	Epiblast	2A	-4.01E-01	-4.91E-01	2.05E+00	1	0	1	0	0	0	0	1.58	0	0	2.32	1
cell_5867	PSLC	2P	3.87E-01	1.51E+00	2.23E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_5954	PSLC	2P	1.15E+00	8.31E-01	2.20E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_7431	PSLC	2P	1.51E+00	1.63E-01	1.83E+00	0	1	0	0	0	0	0	2.58	0	0	1	2
cell_7211	PSLC	2P	-1.01E-01	1.95E+00	1.91E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_6062	PSLC	2P	4.45E-01	1.06E+00	2.26E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_7125	PSLC	2P	1.71E+00	2.36E-01	1.80E+00	0	1.58	0	0	0	0	1	0	0	0	0	2
cell_7191	PSLC	2P	1.28E+00	-4.96E-01	1.97E+00	0	0	0	0	0	0	0	0	0	0	1	2
cell_5496	PSLC	2P	1.07E+00	8.84E-01	1.93E+00	0	2	0	0	0	0	0	1.58	0	0	2.81	2
cell_5554	PSLC	2P	8.52E-01	1.68E+00	2.15E+00	0	2	0	0	0	0	0	0	0	0	1	2
cell_6304	PSLC	2P	-2.46E-01	1.81E+00	1.92E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7169	PSLC	2P	1.46E+00	-1.20E+00	1.98E+00	0	2.32	0	0	0	1	0	0	0	0	2	2
cell_6082	PSLC	2P	9.77E-01	-2.06E-01	2.40E+00	0	2	1	0	0	0	1	0	0	0	1.58	2
cell_6695	PSLC	2P	-4.35E-01	1.68E+00	2.20E+00	0	0	0	0	0	0	0	0	0	0	1	2
cell_7414	PSLC	2P	7.14E-01	1.29E+00	2.38E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_7597	PSLC	2P	1.52E+00	3.10E-01	2.22E+00	0	1	0	0	0	0	0	0	0	0	0	2
cell_7487	PSLC	2P	1.00E-01	-4.36E-02	2.15E+00	0	2	0	0	0	0	0	0	0	0	0	2
cell_6988	PSLC	2P	-9.37E-01	1.30E+00	2.06E+00	0	0	0	0	0	0	0	0	0	0	0	2
cell_7277	PSLC	2P	-1.21E+00	1.32E+00	1.74E+00	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7141	PSLC	2P	1.86E+00	-3.38E-01	1.76E+00	0	1	0	0	0	0	0	0	0	0	2	2
cell_5481	PSLC	2P	1.75E-01	1.27E+00	2.41E+00	1	0	2.32	0	0	0	0	3.17	0	0	1	2
cell_6866	PSLC	2P	1.64E+00	-1.11E+00	2.24E+00	0	0	0	0	0	1	0	1	1	0	2	2
cell_5482	Epiblast	3A	-1.45E+00	-1.85E+00	3.23E+00	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_5644	Epiblast	3A	-1.30E+00	1.22E+00	3.50E+00	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_5689	Epiblast	3A	-5.71E-01	4.80E-01	3.07E+00	0	2.32	0	0	0	0	0	0	0	0	1.58	1
cell_5749	Epiblast	3A	-1.25E+00	-6.31E-01	2.80E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5754	Epiblast	3A	-1.03E+00	-2.06E-01	3.06E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_5796	Epiblast	3A	-1.04E-01	-2.30E+00	3.49E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6239	Epiblast	3A	4.33E-01	-2.49E+00	3.08E+00	0	2	0	0	1	0	0	0	0	0	0	1
cell_6335	Epiblast	3A	-1.75E-01	-5.73E-01	2.81E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6434	Epiblast	3A	1.13E+00	-1.99E+00	3.30E+00	0	2	0	0	0	0	0	1	0	0	1.58	1
cell_6723	Epiblast	3A	9.40E-03	-1.68E+00	2.67E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6748	Epiblast	3A	-1.14E+00	-6.86E-01	3.33E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6814	Epiblast	3A	2.33E-01	-7.01E-01	2.71E+00	0	0	0	0	0	0	0	1	0	0	0	1
cell_6938	Epiblast	3A	-1.25E+00	-1.70E+00	2.84E+00	0	0	0	0	0	0	0	0	0	0	1	1
cell_7003	Epiblast	3A	-1.53E+00	-1.65E+00	3.07E+00	0	1.58	0	0	0	0	0	1	0	0	1.58	1
cell_7127	Epiblast	3A	1.41E-02	-2.23E+00	3.03E+00	0	3.58	0	0	0	0	0	0	0	0	1	1
cell_7142	Epiblast	3A	7.42E-01	-8.72E-01	2.51E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7189	Epiblast	3A	-1.81E+00	-1.70E+00	2.70E+00	0	0	0	0	0	0	0	0	0	0	1	1
cell_7201	Epiblast	3A	-3.09E-01	-1.90E+00	3.19E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_7229	Epiblast	3A	-1.01E+00	-2.32E+00	3.33E+00	0	3.32	0	0	0	1	0	0	0	0	0	1
cell_7263	Epiblast	3A	-1.37E+00	-9.24E-01	2.87E+00	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_7395	Epiblast	3A	-3.16E-01	3.41E-02	3.41E+00	0	2.58	0	0	0	0	0	1	0	0	1	1
cell_7522	Epiblast	3A	-2.38E+00	7.96E-01	3.38E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5808	Epiblast	3A	-1.82E+00	9.71E-01	2.80E+00	0	0	0	0	0	0	0	1.58	0	0	2.58	1
cell_5851	Epiblast	3A	-5.42E-01	8.79E-02	3.03E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6752	Epiblast	3A	4.15E-01	-2.18E+00	2.98E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7501	Epiblast	3A	1.08E+00	-1.74E+00	3.38E+00	0	2	0	1	0	0	0	0	0	0	0	1
cell_6091	Epiblast	3A	-1.80E+00	-7.07E-02	2.72E+00	0	2	0	0	0	0	0	1	0	0	1.58	1
cell_7098	Epiblast	3A	-7.57E-01	-1.00E-01	3.08E+00	0	3.17	0	0	0	0	0	1	0	0	1	1
cell_6524	Epiblast	3A	-2.16E+00	1.15E+00	3.28E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7120	Epiblast	3A	-2.01E-01	-2.32E+00	2.76E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7228	Epiblast	3A	-1.15E+00	2.73E-03	3.07E+00	0	2.81	0	0	0	1	0	0	0	0	1	1
cell_6827	Epiblast	3A	-2.01E+00	3.11E-01	2.50E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7017	Epiblast	3A	-3.94E-01	-2.12E+00	2.58E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5519	Epiblast	3A	-2.13E+00	-1.38E+00	3.22E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_5530	Epiblast	3A	-2.21E+00	1.79E-01	2.75E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5547	Epiblast	3A	-2.02E+00	1.50E+00	3.39E+00	0	3	0	0	0	0	0	1	0	0	0	1
cell_5669	Epiblast	3A	4.65E-01	-2.49E+00	2.54E+00	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_5707	Epiblast	3A	-1.23E+00	4.32E-02	3.26E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5837	Epiblast	3A	8.23E-01	-1.61E+00	2.67E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5875	Epiblast	3A	-1.17E+00	-2.02E+00	3.19E+00	0	1	0	0	0	0	0	1	1	0	2.58	1
cell_6083	Epiblast	3A	-1.85E+00	-1.18E+00	3.29E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6325	Epiblast	3A	-1.54E+00	-1.36E+00	2.67E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6414	Epiblast	3A	-1.30E+00	-1.17E+00	3.36E+00	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6595	Epiblast	3A	3.30E-01	-1.73E+00	3.10E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7249	Epiblast	3A	-9.57E-01	-9.97E-01	2.61E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7356	Epiblast	3A	5.09E-02	-1.25E+00	2.98E+00	0	0	0	0	0	0	0	2.32	0	0	2.81	1
cell_7457	Epiblast	3A	-1.03E+00	-2.09E-01	3.49E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6052	Epiblast	3A	-9.56E-02	-6.21E-01	3.27E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6935	Epiblast	3A	6.79E-01	-7.35E-01	2.58E+00	0	2.32	0	1	0	1	0	2.32	0	0	3.17	1
cell_7616	Epiblast	3A	-2.09E+00	6.13E-01	3.13E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_5553	Epiblast	3A	-1.44E+00	-2.44E-01	3.17E+00	0	0	0	0	0	0	0	1	0	0	0	1
cell_7367	Epiblast	3A	-1.69E+00	-4.67E-01	3.24E+00	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_5483	Epiblast	3A	9.89E-02	-1.17E+00	3.41E+00	0	1.58	0	0	0	0	0	2	0	0	2.32	1
cell_6557	Epiblast	3A	-1.58E+00	4.87E-01	2.96E+00	0	1.58	0	0	1	0	0	0	0	0	0	1
cell_5979	Epiblast	3A	-1.19E+00	-2.00E+00	2.84E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6070	Epiblast	3A	-5.75E-01	-4.58E-01	3.45E+00	0	1.58	0	0	0	0	0	0	0	0	1.58	1
cell_6108	Epiblast	3A	-1.57E+00	-6.70E-02	3.20E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_6318	Epiblast	3A	1.01E+00	-1.79E+00	2.78E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7390	Epiblast	3A	3.41E-01	-1.33E+00	2.86E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5641	Epiblast	3A	-1.49E+00	-1.64E+00	3.28E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5676	Epiblast	3A	-1.33E-01	-3.52E-01	2.63E+00	0	2.32	0	0	0	1.58	0	1	0	0	1	1
cell_5843	Epiblast	3A	1.06E-01	-1.15E+00	2.81E+00	0	2.81	0	0	0	0	0	1	0	0	0	1
cell_5984	Epiblast	3A	-9.42E-01	-3.37E-01	3.45E+00	0	2	1.58	0	0	1	0	1.58	0	0	1.58	1
cell_6017	Epiblast	3A	-1.63E-01	-8.11E-01	2.88E+00	0	2.58	0	0	0	0	0	1	0	0	0	1
cell_6020	Epiblast	3A	1.52E+00	-1.80E+00	2.60E+00	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_6173	Epiblast	3A	-1.79E+00	3.16E-01	3.37E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6435	Epiblast	3A	-2.15E-01	-1.79E+00	3.10E+00	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_7274	Epiblast	3A	-2.11E-01	-1.92E+00	3.24E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7452	Epiblast	3A	1.42E-01	-5.32E-01	2.84E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_5513	Epiblast	3A	4.99E-01	-1.11E+00	3.40E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6008	Epiblast	3A	6.97E-01	-1.40E+00	2.53E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6388	Epiblast	3A	-1.71E+00	1.59E+00	2.51E+00	0	2.32	0	0	0	0	0	1	0	0	0	1
cell_6552	Epiblast	3A	1.31E+00	-1.84E+00	3.46E+00	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_7309	Epiblast	3A	-2.11E+00	-2.13E-02	3.32E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7137	Epiblast	3A	-1.69E+00	-8.83E-01	3.29E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7291	Epiblast	3A	-1.57E+00	-3.74E-01	2.87E+00	0	3	0	0	0	0	0	1	0	0	0	1
cell_5571	Epiblast	3A	-1.02E+00	-2.25E-01	2.57E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5702	Epiblast	3A	-1.04E+00	-7.94E-02	2.76E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5713	Epiblast	3A	-2.19E+00	9.91E-01	2.53E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5999	Epiblast	3A	-2.10E+00	-1.23E+00	2.61E+00	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6693	Epiblast	3A	6.79E-02	-1.72E+00	3.25E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6697	Epiblast	3A	3.44E-01	-6.48E-01	2.66E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7248	Epiblast	3A	5.05E-01	-7.26E-01	2.65E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_7460	Epiblast	3A	3.28E-01	-1.45E+00	3.27E+00	0	1.58	0	0	0	0	0	1.58	0	0	2	1
cell_5500	Epiblast	3A	-3.81E-02	-1.90E+00	3.08E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5756	Epiblast	3A	-2.30E+00	-9.92E-01	3.05E+00	0	0	0	0	0	0	0	1.58	0	0	2.58	1
cell_6533	Epiblast	3A	-2.08E+00	1.22E+00	3.22E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6559	Epiblast	3A	-2.19E+00	-8.77E-01	2.86E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6997	Epiblast	3A	-4.43E-02	-2.42E+00	3.23E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7001	Epiblast	3A	-1.63E+00	8.43E-01	2.97E+00	0	2	0	0	0	0	0	0	0	0	1	1
cell_7064	Epiblast	3A	-2.00E+00	-8.88E-01	2.74E+00	0	2.81	0	0	0	1	0	0	0	0	0	1
cell_7079	Epiblast	3A	-2.04E+00	-3.72E-01	3.43E+00	0	2	1	0	0	0	0	1	0	0	0	1
cell_7447	Epiblast	3A	-1.41E+00	1.25E+00	2.89E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5760	Epiblast	3A	9.11E-02	-2.53E+00	2.55E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7078	Epiblast	3A	-6.08E-01	4.76E-01	2.90E+00	0	2	0	0	0	0	0	0	0	0	1	1
cell_5870	Epiblast	3A	-1.30E-02	-2.15E+00	3.33E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6378	Epiblast	3A	-7.55E-01	4.02E-01	3.45E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5823	Epiblast	3A	-2.95E-01	-2.31E+00	3.26E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6971	Epiblast	3A	-1.76E+00	1.69E+00	2.80E+00	0	2	0	0	0	0	0	1	0	0	0	1
cell_7116	Epiblast	3A	-1.35E+00	8.51E-01	2.68E+00	0	2	0	0	0	0	0	0	0	0	1	1
cell_6888	Epiblast	3A	9.21E-01	-1.75E+00	3.49E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6734	Epiblast	3A	3.21E-01	-2.52E+00	2.94E+00	0	1.58	0	0	0	0	0	0	0	0	2	1
cell_5628	Epiblast	3A	1.05E+00	-1.62E+00	3.43E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5508	Epiblast	3A	-9.42E-02	3.45E-02	3.27E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5594	Epiblast	3A	-1.12E+00	-4.67E-01	2.63E+00	0	1	0	0	0	0	0	0	0	0	1	1
cell_5631	Epiblast	3A	1.87E-02	-2.23E+00	2.62E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5853	Epiblast	3A	6.63E-01	-1.23E+00	3.32E+00	0	1.58	0	0	0	0	0	0	0	0	1.58	1
cell_5961	Epiblast	3A	7.02E-01	-1.54E+00	3.06E+00	0	2.32	0	0	0	1	0	0	0	0	1	1
cell_6168	Epiblast	3A	-5.40E-01	-2.34E+00	2.96E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_6336	Epiblast	3A	-6.71E-01	-2.40E+00	2.63E+00	0	1	0	0	0	0	0	1.58	0	0	0	1
cell_6494	Epiblast	3A	-8.08E-01	6.86E-02	2.82E+00	0	2	0	0	0	0	0	1	0	0	0	1
cell_6496	Epiblast	3A	1.16E+00	-1.95E+00	3.27E+00	0	1.58	0	0	0	0	0	1	0	0	2	1
cell_6602	Epiblast	3A	-2.03E+00	5.64E-01	3.47E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6651	Epiblast	3A	-1.20E+00	-1.03E+00	3.08E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6684	Epiblast	3A	-1.97E+00	-4.10E-01	2.55E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6710	Epiblast	3A	-1.15E+00	-1.38E+00	2.79E+00	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6785	Epiblast	3A	-2.09E+00	-3.83E-01	2.85E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_7028	Epiblast	3A	-1.82E+00	-4.01E-01	2.74E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7199	Epiblast	3A	-9.14E-01	-1.73E+00	3.25E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_7354	Epiblast	3A	4.16E-01	-1.85E+00	2.66E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7372	Epiblast	3A	1.53E+00	-1.97E+00	3.11E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7470	Epiblast	3A	-5.57E-01	-4.31E-01	3.10E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7568	Epiblast	3A	-9.43E-01	-6.12E-01	3.18E+00	0	1.58	1.58	0	0	0	0	1	0	0	2.32	1
cell_7584	Epiblast	3A	-1.45E+00	-1.61E+00	3.40E+00	0	1	0	0	0	0	0	0	0	0	0	1
cell_6241	Epiblast	3A	4.56E-01	-2.45E+00	2.81E+00	0	1.58	0	0	0	0	0	0	0	0	2.32	1
cell_6399	Epiblast	3A	4.08E-01	-8.36E-01	3.02E+00	0	2	0	0	0	0	0	0	0	0	0	1
cell_6410	Epiblast	3A	-2.04E+00	9.86E-01	2.65E+00	0	0	0	0	0	1.58	0	0	0	0	1	1
cell_7517	Epiblast	3A	-1.10E+00	-2.55E-01	3.33E+00	0	1	0	0	0	0	0	0	0	0	1	1
cell_5616	Epiblast	3A	-2.26E-01	-1.94E+00	3.02E+00	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5622	Epiblast	3A	1.47E+00	-1.76E+00	3.14E+00	0	0	0	0	0	0	0	0	0	0	0	1
cell_5814	Epiblast	3A	-1.28E-01	-1.15E+00	2.56E+00	0	3	0	0	0	0	0	0	0	0	0	1
cell_5817	Epiblast	3A	-1.52E+00	-1.37E-01	3.18E+00	0	2.81	0	0	0	1	0	1	0	0	1	1
cell_5897	Epiblast	3A	6.76E-01	-1.67E+00	2.91E+00	0	3.46	0	0	1	1.58	0	0	0	0	1.58	1
cell_6400	Epiblast	3A	3.93E-01	-1.26E+00	3.21E+00	0	1.58	0	0	0	0	0	2	0	0	1.58	1
cell_6493	Epiblast	3A	-8.52E-01	-1.73E-02	3.45E+00	0	2	0	0	0	0	0	0	1.58	0	0	1
cell_6556	Epiblast	3A	-1.21E+00	9.28E-01	2.57E+00	0	2.58	0	0	0	0	0	0	1	0	0	1
cell_6638	Epiblast	3A	-6.50E-01	5.79E-01	3.14E+00	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6709	Epiblast	3A	-1.16E+00	-1.00E+00	2.83E+00	0	1	0	0	0	1	0	0	0	0	0	1
