Cell	Celltype	Location	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_5720 	Epiblast	2A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6984 	Epiblast	2A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7425 	Epiblast	2A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5577 	Epiblast	2A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5467 	Epiblast	2A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6216 	Epiblast	2A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6745 	Epiblast	2A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6527 	Epiblast	2A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6996 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7100 	Epiblast	2A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5914 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6263 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	1.58	1
cell_6295 	Epiblast	2A	0	2	0	0	0	0	0	1.58	0	0	1.58	1
cell_6585 	Epiblast	2A	0	3.46	0	0	0	0	0	0	0	0	0	1
cell_6797 	Epiblast	2A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7498 	Epiblast	2A	0	2.32	0	0	0	0	0	1	0	0	0	1
cell_7532 	Epiblast	2A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6145 	Epiblast	2A	0	2	0	0	0	0	0	0	0	0	1	1
cell_6330 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7205 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7245 	Epiblast	2A	0	1	0	0	0	0	0	1	0	0	0	1
cell_7253 	Epiblast	2A	0	1	0	0	0	0	0	1	0	0	0	1
cell_5717 	Epiblast	2A	0	3.17	0	0	0	0	0	1	1	0	3	1
cell_7290 	Epiblast	2A	0	1	0	0	0	0	0	1	0	0	1.58	1
cell_7029 	Epiblast	2A	0	1	0	0	0	0	0	2.32	1	0	3.58	1
cell_7206 	Epiblast	2A	2	1	2.32	0	0	0	0	2	0	0	2.81	1
cell_7595 	Epiblast	2A	0	1	0	0	0	0	0	0	0	0	2.58	1
cell_6016 	Epiblast	2A	1	0	1	0	0	0	0	1.58	0	0	2.32	1
cell_5867 	PSLC	2P	0	1	0	0	0	0	0	0	0	0	0	2
cell_5954 	PSLC	2P	0	2	0	0	0	0	0	0	0	0	0	2
cell_7431 	PSLC	2P	0	1	0	0	0	0	0	2.58	0	0	1	2
cell_7211 	PSLC	2P	0	2	0	0	0	0	0	0	0	0	0	2
cell_6062 	PSLC	2P	0	2	0	0	0	0	0	0	0	0	0	2
cell_7125 	PSLC	2P	0	1.58	0	0	0	0	1	0	0	0	0	2
cell_7191 	PSLC	2P	0	0	0	0	0	0	0	0	0	0	1	2
cell_5496 	PSLC	2P	0	2	0	0	0	0	0	1.58	0	0	2.81	2
cell_5554 	PSLC	2P	0	2	0	0	0	0	0	0	0	0	1	2
cell_6304 	PSLC	2P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7169 	PSLC	2P	0	2.32	0	0	0	1	0	0	0	0	2	2
cell_6082 	PSLC	2P	0	2	1	0	0	0	1	0	0	0	1.58	2
cell_6695 	PSLC	2P	0	0	0	0	0	0	0	0	0	0	1	2
cell_7414 	PSLC	2P	0	2	0	0	0	0	0	0	0	0	0	2
cell_7597 	PSLC	2P	0	1	0	0	0	0	0	0	0	0	0	2
cell_7487 	PSLC	2P	0	2	0	0	0	0	0	0	0	0	0	2
cell_6988 	PSLC	2P	0	0	0	0	0	0	0	0	0	0	0	2
cell_7277 	PSLC	2P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7141 	PSLC	2P	0	1	0	0	0	0	0	0	0	0	2	2
cell_5481 	PSLC	2P	1	0	2.32	0	0	0	0	3.17	0	0	1	2
cell_6866 	PSLC	2P	0	0	0	0	0	1	0	1	1	0	2	2
cell_5482 	Epiblast	3A	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_5644 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_5689 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	1.58	1
cell_5749 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5754 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_5796 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6239 	Epiblast	3A	0	2	0	0	1	0	0	0	0	0	0	1
cell_6335 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6434 	Epiblast	3A	0	2	0	0	0	0	0	1	0	0	1.58	1
cell_6723 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6748 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6814 	Epiblast	3A	0	0	0	0	0	0	0	1	0	0	0	1
cell_6938 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	1	1
cell_7003 	Epiblast	3A	0	1.58	0	0	0	0	0	1	0	0	1.58	1
cell_7127 	Epiblast	3A	0	3.58	0	0	0	0	0	0	0	0	1	1
cell_7142 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7189 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	1	1
cell_7201 	Epiblast	3A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_7229 	Epiblast	3A	0	3.32	0	0	0	1	0	0	0	0	0	1
cell_7263 	Epiblast	3A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_7395 	Epiblast	3A	0	2.58	0	0	0	0	0	1	0	0	1	1
cell_7522 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5808 	Epiblast	3A	0	0	0	0	0	0	0	1.58	0	0	2.58	1
cell_5851 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6752 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7501 	Epiblast	3A	0	2	0	1	0	0	0	0	0	0	0	1
cell_6091 	Epiblast	3A	0	2	0	0	0	0	0	1	0	0	1.58	1
cell_7098 	Epiblast	3A	0	3.17	0	0	0	0	0	1	0	0	1	1
cell_6524 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7120 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7228 	Epiblast	3A	0	2.81	0	0	0	1	0	0	0	0	1	1
cell_6827 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7017 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5519 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_5530 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5547 	Epiblast	3A	0	3	0	0	0	0	0	1	0	0	0	1
cell_5669 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	1	1
cell_5707 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5837 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5875 	Epiblast	3A	0	1	0	0	0	0	0	1	1	0	2.58	1
cell_6083 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6325 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6414 	Epiblast	3A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6595 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7249 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7356 	Epiblast	3A	0	0	0	0	0	0	0	2.32	0	0	2.81	1
cell_7457 	Epiblast	3A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6052 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6935 	Epiblast	3A	0	2.32	0	1	0	1	0	2.32	0	0	3.17	1
cell_7616 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_5553 	Epiblast	3A	0	0	0	0	0	0	0	1	0	0	0	1
cell_7367 	Epiblast	3A	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_5483 	Epiblast	3A	0	1.58	0	0	0	0	0	2	0	0	2.32	1
cell_6557 	Epiblast	3A	0	1.58	0	0	1	0	0	0	0	0	0	1
cell_5979 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6070 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	1.58	1
cell_6108 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6318 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7390 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5641 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5676 	Epiblast	3A	0	2.32	0	0	0	1.58	0	1	0	0	1	1
cell_5843 	Epiblast	3A	0	2.81	0	0	0	0	0	1	0	0	0	1
cell_5984 	Epiblast	3A	0	2	1.58	0	0	1	0	1.58	0	0	1.58	1
cell_6017 	Epiblast	3A	0	2.58	0	0	0	0	0	1	0	0	0	1
cell_6020 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_6173 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6435 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_7274 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7452 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_5513 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6008 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6388 	Epiblast	3A	0	2.32	0	0	0	0	0	1	0	0	0	1
cell_6552 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_7309 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7137 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7291 	Epiblast	3A	0	3	0	0	0	0	0	1	0	0	0	1
cell_5571 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5702 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5713 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5999 	Epiblast	3A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6693 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6697 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7248 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7460 	Epiblast	3A	0	1.58	0	0	0	0	0	1.58	0	0	2	1
cell_5500 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5756 	Epiblast	3A	0	0	0	0	0	0	0	1.58	0	0	2.58	1
cell_6533 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6559 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6997 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7001 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	1	1
cell_7064 	Epiblast	3A	0	2.81	0	0	0	1	0	0	0	0	0	1
cell_7079 	Epiblast	3A	0	2	1	0	0	0	0	1	0	0	0	1
cell_7447 	Epiblast	3A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5760 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7078 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	1	1
cell_5870 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6378 	Epiblast	3A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_5823 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6971 	Epiblast	3A	0	2	0	0	0	0	0	1	0	0	0	1
cell_7116 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	1	1
cell_6888 	Epiblast	3A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6734 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	2	1
cell_5628 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5508 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5594 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5631 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5853 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	1.58	1
cell_5961 	Epiblast	3A	0	2.32	0	0	0	1	0	0	0	0	1	1
cell_6168 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6336 	Epiblast	3A	0	1	0	0	0	0	0	1.58	0	0	0	1
cell_6494 	Epiblast	3A	0	2	0	0	0	0	0	1	0	0	0	1
cell_6496 	Epiblast	3A	0	1.58	0	0	0	0	0	1	0	0	2	1
cell_6602 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6651 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6684 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6710 	Epiblast	3A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6785 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7028 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7199 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7354 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7372 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7470 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7568 	Epiblast	3A	0	1.58	1.58	0	0	0	0	1	0	0	2.32	1
cell_7584 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6241 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	2.32	1
cell_6399 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6410 	Epiblast	3A	0	0	0	0	0	1.58	0	0	0	0	1	1
cell_7517 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5616 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5622 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_5814 	Epiblast	3A	0	3	0	0	0	0	0	0	0	0	0	1
cell_5817 	Epiblast	3A	0	2.81	0	0	0	1	0	1	0	0	1	1
cell_5897 	Epiblast	3A	0	3.46	0	0	1	1.58	0	0	0	0	1.58	1
cell_6400 	Epiblast	3A	0	1.58	0	0	0	0	0	2	0	0	1.58	1
cell_6493 	Epiblast	3A	0	2	0	0	0	0	0	0	1.58	0	0	1
cell_6556 	Epiblast	3A	0	2.58	0	0	0	0	0	0	1	0	0	1
cell_6638 	Epiblast	3A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_6709 	Epiblast	3A	0	1	0	0	0	1	0	0	0	0	0	1
cell_6713 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	2	1
cell_6838 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6931 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7334 	Epiblast	3A	0	2	0	0	0	0	0	1	0	0	0	1
cell_7479 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7490 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_5557 	Epiblast	3A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6153 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6560 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	1	1
cell_7336 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_5779 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6223 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6303 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7332 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7345 	Epiblast	3A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7408 	Epiblast	3A	1.58	1	1	2.58	0	0	0	1	0	0	2.58	1
cell_5560 	Epiblast	3A	0	0	0	0	0	0	0	1	0	0	0	1
cell_6676 	Epiblast	3A	0	2	0	0	0	0	0	1.58	0	0	2	1
cell_7056 	Epiblast	3A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7566 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5501 	Epiblast	3A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7426 	Epiblast	3A	0	1	0	0	0	0	0	0	0	0	1	1
cell_6626 	Epiblast	3A	0	1	1.58	0	0	0	0	2.32	0	0	3.17	1
cell_6776 	Epiblast	3A	0	2	0	0	0	0	0	2.32	0	0	3	1
cell_6237 	Epiblast	3A	0	1	1	0	0	0	0	1.58	1.58	0	3	1
cell_6867 	Epiblast	3A	0	0	0	0	0	0	0	0	1.58	0	2.32	1
cell_7448 	Epiblast	3A	0	0	0	0	0	0	0	1	1	0	1.58	1
cell_7088 	Epiblast	3A	1	1	2.81	3	0	0	0	0	0	0	2.58	1
cell_5719 	Epiblast	3A	0	1.58	0	0	0	0	0	1	1	0	2.32	1
cell_6463 	Epiblast	3A	0	1	2	2.32	0	0	0	1	1	0	2.81	1
cell_6447 	Epiblast	3A	0	0	2	0	0	0	0	1.58	0	0	2.58	1
cell_7344 	Epiblast	3A	0	2	1	0	0	0	0	1	2	0	2.58	1
cell_7224 	Epiblast	3A	1	1	0	0	0	0	1	2.58	1	0	3.32	1
cell_5735 	PSLC	3P	0	1	0	0	0	0	0	1	0	0	0	2
cell_6225 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5970 	PSLC	3P	0	1.58	0	0	0	0	0	1	0	0	0	2
cell_7368 	PSLC	3P	0	2.32	0	0	0	0	0	0	1	0	2	2
cell_6125 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	0	2
cell_6451 	PSLC	3P	0	2.32	0	0	0	0	1	0	0	0	2.81	2
cell_7041 	PSLC	3P	0	1	0	0	0	0	1	0	0	0	1	2
cell_5650 	PSLC	3P	0	3.32	0	0	0	0	0	0	0	0	0	2
cell_5745 	PSLC	3P	0	2.32	0	0	0	0	0	0	0	0	0	2
cell_5763 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	0	2
cell_5878 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	1.58	2
cell_6007 	PSLC	3P	0	1.58	0	0	0	1	0	0	0	0	0	2
cell_6539 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	1.58	2
cell_6648 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	2.32	2
cell_6960 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	2.58	2
cell_7067 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_7226 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_7302 	PSLC	3P	0	3	0	0	0	0	0	1	0	0	1	2
cell_7312 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	0	2
cell_7483 	PSLC	3P	1	0	1	0	0	0	0	1	0	0	1	2
cell_7535 	PSLC	3P	0	1	0	0	0	0	0	2	0	0	2	2
cell_7624 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_5648 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	2.32	2
cell_5649 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_5780 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6034 	PSLC	3P	0	1	0	0	0	0	0	1.58	0	0	3	2
cell_6160 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	0	2
cell_6167 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6271 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	2.32	2
cell_6719 	PSLC	3P	0	1	0	0	0	0	1	1	0	0	0	2
cell_7085 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_7293 	PSLC	3P	0	2.32	0	0	0	0	0	0	0	0	0	2
cell_7378 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	1	2
cell_7559 	PSLC	3P	0	1.58	0	0	0	1	0	0	0	0	0	2
cell_6953 	PSLC	3P	0	2.32	1	0	0	0	0	0	0	0	2	2
cell_7177 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_5931 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	0	2
cell_6689 	PSLC	3P	0	1.58	0	0	0	0	1	0	1	0	0	2
cell_5953 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	1	2
cell_5684 	PSLC	3P	0	1	0	0	0	0	0	1.58	0	0	0	2
cell_5890 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	1	2
cell_5896 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	1	2
cell_5983 	PSLC	3P	0	2.81	0	0	0	0	0	0	0	0	0	2
cell_6009 	PSLC	3P	0	2.81	0	0	0	0	0	0	0	0	1	2
cell_6228 	PSLC	3P	0	1.58	0	0	0	0	0	1	0	0	1	2
cell_6444 	PSLC	3P	1	1	1	0	0	0	0	2.32	0	0	2.58	2
cell_7506 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	1	2
cell_7577 	PSLC	3P	0	2	0	0	0	0	0	1	0	0	2	2
cell_7038 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_6308 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6462 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7153 	PSLC	3P	0	1	0	0	0	0	0	2	0	0	1.58	2
cell_6257 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	0	2
cell_6720 	PSLC	3P	0	2.32	0	0	0	0	0	1	0	0	0	2
cell_5757 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	0	2
cell_5639 	PSLC	3P	0	3	0	0	0	0	1	0	0	0	0	2
cell_6159 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	2.32	2
cell_6848 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_7232 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_6375 	PSLC	3P	0	1.58	0	0	0	0	0	1	0	0	0	2
cell_6630 	PSLC	3P	0	1.58	0	0	0	0	0	1	0	0	0	2
cell_6727 	PSLC	3P	0	1.58	0	0	0	0	1	0	0	0	0	2
cell_6902 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_6944 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	1	2
cell_7481 	PSLC	3P	0	2.81	0	0	0	0	0	0	0	0	2	2
cell_5680 	PSLC	3P	0	2	0	0	0	0	0	0	0	0	0	2
cell_5642 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_5926 	PSLC	3P	0	0	0	0	0	0	0	1.58	0	0	1.58	2
cell_5949 	PSLC	3P	0	2.58	0	0	0	0	0	0	0	0	0	2
cell_5958 	PSLC	3P	0	1	0	0	0	0	0	1	0	0	1.58	2
cell_5971 	PSLC	3P	0	3	0	0	0	1	0	0	0	0	0	2
cell_6027 	PSLC	3P	0	1	0	0	0	0	0	0	0	0	0	2
cell_6076 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6230 	PSLC	3P	0	2.81	0	0	0	0	0	0	0	0	1	2
cell_6544 	PSLC	3P	0	0	0	0	0	1	0	2	0	0	1	2
cell_6619 	PSLC	3P	0	0	0	0	0	0	0	0	0	0	0	2
cell_6692 	PSLC	3P	0	1.58	0	0	0	1	0	1.58	1	0	2.81	2
cell_6909 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_6986 	PSLC	3P	0	1.58	0	0	0	0	0	0	0	0	0	2
cell_7220 	PSLC	3P	0	2.32	0	0	0	0	1	0	0	0	0	2
cell_5549 	PSLC	3P	0	1	0	0	0	1	0	0	0	0	0	2
cell_5690 	PSLC	3P	0	2.32	0	0	0	0	0	0	0	0	0	2
cell_6057 	PSLC	3P	0	0	0	0	0	1	0	0	0	0	0	2
