Genes	1AP	2A	2P	3A	3P	4A	4P	5A	5P	6A	6P	7A	7P	8A	8P
0610010B08Rik	3.4	3.7	4	4.4	4	4.1	4	3.8	3.7	4.1	4.1	3.8	3.9	4	4.2
0610010F05Rik	0.6	1.9	2.1	2	2.2	2.2	2.3	2.3	2	1.9	1.6	2.5	1.8	2.5	1.9
0610010K14Rik	4.7	6.2	6.4	6.7	6.6	6.6	6.8	6.4	6.4	7.1	7	6.4	7.3	6.9	7
0610011F06Rik	2.9	4.5	4.9	3.6	4.7	4	4.4	4.3	4.5	5	4.7	4.6	3.5	4.7	5.2
0610012G03Rik	3	4.4	4.8	4.4	4.8	4.4	4.7	4.3	5.2	5.1	4.9	5.1	5	5.4	5.2
0610012H03Rik	0	0	0	0	0	0.7	0	1.4	0	0	0	0	0	0	0
0610030E20Rik	1.6	0.7	1.8	1.7	2.1	1.6	2.3	1.5	2.1	1.8	1.7	1.8	1.7	1.3	1.7
0610031J06Rik	2.3	3.2	2.7	3.3	3.1	3.3	3.5	3.2	4	4.2	3.8	3.6	4	4.6	3.9
0610037L13Rik	3	4.4	4.1	4	4	4.1	3.9	4.1	4.4	4.8	4.7	4.1	4.7	4.5	5.1
0610038B21Rik	0.6	1	0	0.6	0.7	0.8	1.4	1	0.6	1.1	0.7	0.9	1	1.1	1.3
0610038L08Rik	1.1	0	0	0	0.3	0.5	0.6	0.9	0	0.3	0	0.6	0	0	0.5
0610040B10Rik	0	1.8	1.8	0	1.5	0	1.1	0	2.6	0	1.9	0	3.1	1.7	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0
0610040J01Rik	0.5	0.8	0	0.3	0	0.2	0	0	0.2	1.1	1.1	1	0	0.2	0.7
1110001A16Rik	3.5	3.5	3.9	4	3.8	4	3.7	4	4.2	4.2	4.3	3.8	3.8	4.3	4.6
1110001J03Rik	5	5.4	5.7	5.9	5.9	5.9	6.1	5.8	5.2	5.7	6.1	5.6	6	6.5	6
1110002L01Rik	1.5	3	3.3	2.9	3.2	2.7	3.1	2.5	2.4	2.8	2.9	3.3	3.5	2.5	3.1
1110004E09Rik	3.7	4.1	4.8	4.4	4.6	4.2	4.4	3.9	4.3	4.9	4.5	4.1	4.5	5	4.9
1110004F10Rik	5.3	6.4	6.7	6.7	6.8	6.7	6.9	6.6	6.8	7	7.2	6.9	7	6.8	7.4
1110006O24Rik	1.1	1.4	1	1.2	1	1.2	1	1.1	1.7	0.6	0	2	1.1	1.5	0
1110007C09Rik	1.1	4.2	2.7	3.8	3.2	3.9	3.6	4	3.9	4.2	3.7	4	3.4	5.2	3.1
1110008F13Rik	3.8	5.2	4.9	5.9	5.1	5.7	5.2	5.5	5.8	6.1	6.2	4.9	5.8	6.1	6.2
1110008J03Rik	2.1	2.1	3.1	2.8	2.9	2.6	2.6	2.4	2.9	2.8	2.7	2.5	2.9	2.6	2.5
1110008L16Rik	1.5	2	2.2	2.3	2.7	2.6	3.1	2.9	2.6	2.9	3	3.2	3.1	3	3
1110008P14Rik	3	4.3	4.6	3.8	4.6	3.9	4.6	4	4.7	3.8	4.6	4.9	5.2	4.7	4.5
1110012L19Rik	3.1	2.9	2.5	3.4	3.4	3.4	4.2	3.3	4.3	4.2	4	3.5	3.2	4.1	4.8
1110018G07Rik	1.1	0.8	1.8	1	1.7	1	1.6	0.9	1.7	1.7	1.9	1.7	2	2.3	1.7
1110019D14Rik	1.6	1.8	1.3	1.6	1.7	2	2.1	2.3	2.5	1.9	2.1	0.5	1.8	2.6	2.5
1110020A21Rik	1.6	0	1.7	1.7	1.8	1.8	1.9	1.8	0	1.9	2.7	1.5	1.3	1.4	2.3
1110032A03Rik	0	2	2.2	2.4	2.5	2.6	2.8	2.7	1.7	2.2	3.1	1.8	1.5	1.7	2.4
1110032F04Rik	0.4	0	1.1	0.7	0.7	1.1	0.2	1.5	0	0.2	1.2	0.6	0	0	0
1110034G24Rik	1.9	2.8	1.4	2.2	1.6	2.1	1.7	1.9	3.2	2.1	2.3	2.3	1.8	2.9	1.6
1110037F02Rik	1.4	1.8	2.3	2.2	2.4	2.1	2.4	2	2.5	2.4	2.9	1.9	2.6	2.7	2.2
1110038B12Rik	5.9	7.3	7.4	7.2	7.4	7.1	7.4	6.9	7.8	7.5	7.9	7.6	7.8	7.4	7.9
1110038F14Rik	3.5	5	4.8	5.3	5	5.3	5.2	5.2	5	5.9	5.4	5	5.8	5.3	5.3
1110051M20Rik	0	2	1.6	1.9	1.7	2.2	1.8	2.4	2.1	1.8	3.1	1.9	3	2.5	2.9
1110054M08Rik	0	0	0.5	0	0.5	0.3	0.5	0.6	1.5	1.9	1	1.9	2.5	0	0.8
1110057K04Rik	3.2	3.5	3.9	3.8	4	3.9	4.1	3.9	3.9	4	4.2	3.6	4.3	4.2	4
1110058L19Rik	3	5.2	5.3	5.2	5.3	5.3	5.3	5.4	4.3	5.6	4.9	4.9	6	5.4	5.6
1110059E24Rik	4.3	4.6	5.3	4.8	5.5	5.1	5.7	5.4	5	5.8	5.8	5.7	5.5	4.8	4.8
1110059G10Rik	2.4	2.8	2.1	2.8	2.3	2.8	2.5	2.7	2.5	2.5	2.9	3	2.1	2.7	2.1
1110065P20Rik	2.8	3.9	3.7	4.6	3.9	4.4	4	4.1	4.6	3.5	4.2	4	5.3	4.3	4.2
1190002F15Rik	3.4	3.1	4.1	4.2	4	4	3.8	3.8	4.9	4.6	5	4.4	4.1	4	4.6
1190002N15Rik	1.3	2.3	1.7	1.9	1.4	1.9	1	1.9	1.7	2.4	2.1	2.3	1.9	2.5	0.9
1190003J15Rik	0	3.6	4.2	3.7	4.1	4	3.9	4.3	2.5	4.8	4.2	3.7	3.4	2.4	2.8
1190005I06Rik	2.8	3.2	3.8	3.4	3.3	3.8	2.8	4.1	1.1	3.3	2.6	3.5	2.9	3.9	2.4
1190007I07Rik	4.3	5	5.6	5.5	5.6	5.3	5.5	5.1	6	5.5	5.9	5.3	5.3	6.2	5.9
1200011I18Rik	1.4	2.3	2.5	2	2.5	2.1	2.4	2.2	2.3	2.6	2.4	2.6	2.5	2.4	2.2
1200014J11Rik	2.4	3.2	2.7	2.6	2.6	2.9	2.5	3.1	3	2.8	3.1	3.1	3	3.1	3.1
1300002E11Rik	2.9	4.1	3.4	4.3	3.8	4	4.2	3.7	3.4	3.9	3.7	4.3	4.8	3.8	4.1
1300002K09Rik	0	0	0.8	0	0.5	0	0.1	0	0.5	0	0.3	0.4	0.1	0.6	0.4
1300018J18Rik	0	0.8	0.6	0.4	0.5	0.7	0.4	0.9	0.8	0	1	0.3	0.4	0.5	0.5
1500004A13Rik	1	1.8	1	0.6	0.8	0.7	0.6	0.7	0.4	0.1	0.3	0.8	1.5	0.8	1
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	3.2	3.7	3.3	4.4	3.4	3.8	3.5	3.2	4.1	3.9	3.6	3.7	3.5	3.5	3.2
1500011B03Rik	3.1	4.5	4	4.3	4.4	4.7	4.7	5	3.2	4.2	4.9	4.8	4.2	4.5	3.2
1500011K16Rik	1	3.3	3.5	3	2.6	2.7	1.6	2.4	3.8	3.1	3.2	2.8	3.2	3.5	3.6
1500012F01Rik	5.6	6	6.2	5.9	6.3	6.1	6.4	6.3	6.7	6.3	7	5.9	6.5	6.4	7
1500012K07Rik	0	0	0.6	0	0.3	0.5	0	1	0	0	0	0	0	0	0
1500015A07Rik	2.3	2.2	1.3	0.5	1.7	1.4	2.1	2.2	1.4	0.9	1.7	2.7	1.3	2.8	1.9
1500015L24Rik	0	0	0	0	0	0	0	0	1	0.6	0	0	0	0	0
1500015O10Rik	1	0	1.4	0	0.7	0	0	0	0	0	1.9	0.9	0	0	0
1500016L03Rik	1.3	0	0.8	0	0.4	0.7	0	1.3	1.9	0.7	3	2.5	1.7	0	1.1
1500017E21Rik	1.1	0.2	0.7	0.5	0.7	0.5	0.7	0.5	0.2	0.6	0	0	0	0	0
1500032L24Rik	5.9	7.2	6.9	7.1	7	7	7.1	6.8	7.4	7.3	7.3	7.3	7.6	7.7	7.6
1600002H07Rik	0.8	3.1	2.8	2.5	3	2.5	3.1	2.4	2.2	2.9	2.6	3.1	2.5	2.8	2.4
1600002K03Rik	2.4	3.8	2.8	4.3	3.1	3.5	3.4	2.7	3.7	3.9	3.3	2.3	4.1	2.6	3.9
1600012H06Rik	1.5	2.5	2.9	3	2.4	2.9	1.9	2.8	3.5	3.2	2.9	2.6	2.5	2.8	2.7
1600014C10Rik	0.9	1	1.2	1.7	0.8	1.5	0.3	1.2	0.5	0.6	1.6	1.4	0.4	1.9	1.4
1600014C23Rik	0	1.6	0	1.1	0	0.6	0	0	0	0	0	0	0	2.1	1.4
1600015I10Rik	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600016N20Rik	1.1	1.2	0	0.3	0.1	0.5	0.2	0.6	0.4	0.7	0.3	2	0	1.1	1.3
1600020E01Rik	3.2	2.9	3.5	3.4	3.4	3.6	3.2	3.7	4.5	2	4.1	4.1	2.7	4.1	3.4
1600023N17Rik	0	0	0	0.9	0	1.9	0	2.8	0	0	0.6	0	0	0	1.2
1600029D21Rik	1.4	0.7	1.6	1.1	0.9	0.6	0.2	0	0.7	0.2	0.5	0.4	1	3.3	1
1700001G11Rik	1.7	0	0	0	0.8	1.1	1.6	2.1	0	0	0	0	0	0	2.8
1700001G17Rik	0	0	0	0	0.6	0.3	1.2	0.5	0	0	1.4	0	0	0	0
1700001J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700001L05Rik	0.2	0	0.4	0.7	0.7	0.8	1	0.8	1	0.5	0.2	0.7	0.9	0.1	0.1
1700003C15Rik	0	0	0.7	0	0.7	0	0.7	0	0	0.6	0	0	0.7	0	0
1700003F12Rik	0	0	0.6	0	1.4	0.4	2.1	0.7	2.2	0	2	1.7	2.5	1.3	0.9
1700003G18Rik	0	2	0	0	1.2	0	2.4	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	0	2.1	2.3	2.3	2.3	1.5	2.3	0.6	0.9	1.5	2.3	1.7	0.6	1.6	2.7
1700007K13Rik	0	1	0	0.7	0.8	1.1	1.6	1.4	2.3	2	0	1.8	0.6	1.9	2
1700007L15Rik	3.4	2	2.5	2.6	2.8	2.4	3.1	2.2	3.6	2.2	3.5	2.4	2.1	1	3.1
1700008J07Rik	0.7	0.4	1.2	1	0.7	1	0.2	1	1.6	1.5	1.9	0.6	1.5	1.6	0.7
1700008O03Rik	0.9	1.2	0	1.6	0.3	1.3	0.5	0.9	0.9	0	0	0.9	1.2	0	0.4
1700009P17Rik	0	0.5	1	1.7	0.7	1.1	0.4	0.5	1.1	0	1.5	0	1.5	1.2	0.9
1700010D01Rik	0	0	0	1.1	0	0.6	0	0	0	0	1.3	0	0	0	0
1700010I14Rik	0	0.8	1.4	1.2	1	0.9	0.6	0.5	1.7	0.9	1.1	0	1.2	0.4	1
1700011H14Rik	0	0.7	1.7	0	0.9	0.7	0	1.4	0	0	0	0	0	0	0.6
1700011J10Rik	1.6	1.6	1.4	1.5	1.6	1.9	1.7	2.3	0.7	1.3	2.7	1.8	1.7	1.9	2.6
1700012B15Rik	0	1.7	0.7	1.2	1.1	0.6	1.4	0	1.3	1	1.2	1	2	0.9	1.6
1700013G23Rik	0	0	0	0	0	0	0	0	0.9	0.9	0	1.9	0	0	0
1700013H16Rik	0	3.1	1.6	3	2	3	2.3	2.9	1.3	2.7	3.6	2.7	3.1	2.9	2.8
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0
1700016K19Rik	0	0.9	0	0	0	0	0	0	0.5	0.8	0	0	0	1.1	0
1700017B05Rik	1.9	2.7	2.7	2.6	2.4	2.6	2.1	2.5	2.4	2.6	2.5	2.8	3.1	2.8	2.1
1700019A02Rik	0	0	0	0	0	0.7	0	1.3	0	1.2	0	0	0	0	0
1700019D03Rik	3.7	5.8	5.5	5	4.7	5.2	3.9	5.3	4.2	5.4	3.7	4.7	4.8	5.6	5.5
1700019G17Rik	1.3	0.4	0.7	0.7	0.4	0.4	0	0	0.7	0	0	0.3	1.1	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	2.8	3.9	4.1	4.4	3.9	4.2	3.6	3.9	4	3.8	4.1	3.6	4.4	4.2	3.3
1700020N15Rik	0	0.9	0	1.6	0	0.8	0	0	0.9	0	1.2	0	0	0	0
1700021F05Rik	0	4.4	4.7	4.6	5	4.5	5.2	4.4	5	4.8	4.6	4.9	4.8	5.6	5
1700021K19Rik	0.3	0.8	0.5	0.3	0.7	0.7	0.8	1.1	1.6	0.4	1.2	0.9	0.5	0.6	0.7
1700022P22Rik	0	0	0	0	0	0	0	0	1.8	0	0	2.9	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	1.3	0	1	0.5	0.5	0.7	0	0.8	0.4	0.4	0.8	0.7	1.2	1.3	0.3
1700024F13Rik	0	0.7	2.2	1.3	2	0.7	1.8	0	1.6	1.5	0.6	1.2	0.7	0.6	0
1700025G04Rik	0.6	1.2	0.7	0.9	0.9	0.9	1	0.8	0.7	1	0.7	0.8	1	1	1.2
1700026L06Rik	0	0	0	0	0	0.4	0	0.7	0	0	0	0	1.6	0	0
1700028J19Rik	0	0	0	0	0	0	0	0	0	0	1.6	0.7	0	0.9	0
1700028K03Rik	0	0.8	0.1	0.6	0.3	0.5	0.5	0.3	1.3	1	0.5	0	0	0.2	0.6
1700029P11Rik	0	0	0	0	0.4	0.4	0.8	0.8	0	2.1	0	1	0	0.4	0.7
1700030C10Rik	1.2	3.3	3.3	2.5	2.8	2.7	2.2	2.9	1.3	2.3	2.5	2.9	0.5	2.2	2.1
1700030J22Rik	0.3	0.2	0.5	0	0.3	0.1	0	0.2	0	0	1.1	0.4	0.2	0.6	0.1
1700030K09Rik	0.4	1.1	1	0.4	1.3	0.8	1.5	1.2	0.9	0.5	1	1.8	0.2	1.8	1.7
1700034O15Rik	0	0	1.1	0	0.6	0	0	0	0	1	0	0	0	0	0
1700037C18Rik	0	0.4	2	0.9	1.4	0.5	0.7	0	1.4	2	0	1.6	1	1.3	1.1
1700037H04Rik	3.3	5	4.7	4.6	4.6	4.6	4.4	4.5	4.9	4.7	4.8	4.5	5.4	5.1	5.1
1700047E10Rik	0	0	0	0	0	0.7	0	1.4	0	0	0	0	0	0	0
1700047I17Rik2	1.4	2.2	2.3	2.6	2.4	2.3	2.5	2	1.9	1.4	1.9	2.3	2.3	2.2	1.8
1700047L14Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	1.1	0	0
1700048O20Rik	0	0.3	0.4	2	0.5	1.6	0.6	1.2	1.5	1.5	0.9	0	2.7	2.1	0.9
1700049G17Rik	0	0.3	0	0.1	0.2	0.1	0.4	0.1	1.1	0.2	0.2	0.6	0.9	0.1	0.2
1700052K11Rik	0	0.4	1.1	0.2	0.8	0.3	0.5	0.4	0.5	1	1.2	0.9	0.5	0.9	1.4
1700052N19Rik	2.6	3.5	2.7	3.4	2.9	3.4	3	3.4	3.3	3.3	3.5	3.5	3.7	3.9	3.2
1700065D16Rik	0	0	0	0	0	0	0	0	0	1.3	0	0.9	0	0	2.9
1700065J18Rik	1.9	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0
1700066B19Rik	0	0	0	0	0.2	0	0.3	0	0	0	0	0	0	0	0
1700066M21Rik	0.3	0.2	0.8	1.4	0.4	1.4	0	1.3	0.5	0.3	1	0.4	0.6	0.4	0.8
1700084E18Rik	0	3.1	0	0	0.6	1	1.2	1.9	0	1.2	2.3	0	3.8	0	1.6
1700086O06Rik	0.7	1.2	2.2	0.8	2	1.4	1.7	2	0.8	2.3	2.3	1	0.9	1.8	1.5
1700091H14Rik	2.1	2.3	0.3	0.4	0.6	1.2	0.8	1.9	1.2	1.1	0.5	0.8	0	0.9	1.2
1700092M07Rik	0	0	0	2.7	0.7	1.4	1.4	0	1.4	1.4	1.8	0	0	0	0
1700094D03Rik	1.3	0.8	1.3	1.3	1.5	1.5	1.7	1.6	1.4	0.5	1.7	1.2	1.3	1.2	0.7
1700095A21Rik	0.8	0.8	0	0	0.2	0.3	0.4	0.5	0.8	0	0	0.4	0	0	0
1700096K18Rik	0	0.3	0	0.9	0	0.9	0	0.8	0	0	0	0	0	0	0
1700097N02Rik	0	2	1.2	1.9	0.9	1	0.5	0	1.5	0.9	2.5	0.9	0	1.2	1.5
1700102H20Rik	0	1.3	0	2.1	1	1.7	1.9	1.3	0	1.3	2.4	3.8	0	2.3	2.2
1700102P08Rik	0	0	1	0.5	0.5	0.7	0	0.8	1.3	0	2	2.3	0	0	1.7
1700105P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0
1700108F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
1700109G15Rik	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	3.6
1700110I01Rik	1.5	0	0	0	0	0.3	0	0.5	0.7	0	0	0.8	0.9	0.2	0.2
1700113A16Rik	2.1	2.5	3.2	2.7	2.8	2.9	2.4	3.1	2.3	1.5	1.9	3	2.1	2.9	2.2
1700120C14Rik	0	0	2	0	1.7	0	1.3	0	2.5	0	0	1.3	0	3	0
1700120G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123M08Rik	0	0.5	0	0	0.8	1.1	1.6	2.1	0	0.4	1.7	0	1.1	0.4	0
1700123O20Rik	3.2	3.8	4.3	3.7	4.4	4	4.5	4.2	4.1	4.4	4.6	4.2	4.5	5	3.9
1700125H03Rik	0	0	0	1.8	0	1.5	0	1.1	0	0.7	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	7.2	8.4	8.5	8.5	8.5	8.4	8.4	8.2	8.5	8.8	9	8.5	8.8	8.9	8.7
1810010H24Rik	0	0	0	0	0	0.2	0	0.4	0	0	0.6	0.7	0	0.9	0
1810013D10Rik	3	3.9	4.9	4.5	5	4.7	5.1	4.9	5.5	4.9	5.7	5.4	5.1	5.3	5.1
1810013L24Rik	1.3	1.6	2.7	2.3	2.5	1.9	2.3	1.5	2.1	2.6	2.4	1.8	1.9	2.5	1.5
1810014B01Rik	2.8	3.4	2.4	2.6	2.2	2.9	2	3.1	2.2	3	1.6	2.5	2.7	2.5	3.6
1810019D21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0
1810019J16Rik	1.7	2.2	2.6	1.7	2.5	2	2.3	2.2	2.6	3	3.2	2.9	2.9	2.9	2.9
1810022K09Rik	8.4	10	10	10.1	10	10	10	9.8	10.1	10.2	10.5	10.1	10.4	10.3	10.4
1810026B05Rik	1.5	1.7	2.1	1.6	2.2	1.7	2.3	1.8	2.3	1.9	1.7	2.2	2.2	2.2	2.1
1810026J23Rik	0.5	2.4	2.5	2.1	2.4	2.3	2.2	2.4	1.6	2.1	2.7	3.3	2.3	2.3	2.8
1810030O07Rik	1.6	2.5	2.1	3	2.4	3.1	2.7	3.2	2.7	3.4	3	3.1	3	3	3
1810032O08Rik	3.8	3.8	4.3	3.8	4.6	4.2	4.9	4.5	4.5	4.8	4.6	4.2	4.3	3.8	4.2
1810037I17Rik	6.4	7.1	6.5	7.2	6.6	7.2	6.7	7.2	7	7.2	7	7.3	6.7	7	7
1810043G02Rik	0.9	1.7	2.2	1.7	2.2	2	2.1	2.3	2.8	2	1.5	1.4	0.9	2.6	1.7
1810043H04Rik	4.7	6.5	6.1	6.1	6.1	6.1	6.1	6	6.6	6.6	7	6.4	6.4	6.8	6.2
1810044D09Rik	1.6	2.7	4.1	4	3.4	3.7	2.6	3.3	3.8	3.7	3.5	3.6	4.6	3.9	3.6
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810053B23Rik	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	1.5
1810055G02Rik	0.9	3.1	3.4	3.8	3.3	3.6	3.2	3.3	3.2	2.9	3.7	2.6	3.2	2.9	3.2
1810058I24Rik	3.8	5.6	5.4	5.4	5.7	5.5	5.9	5.5	5.7	6.1	6.1	5.6	6	6.1	6.2
1810064F22Rik	0.4	0	0	0.4	0.5	0.3	0.9	0.2	0.2	0	0	0	0	0	0
2010001M06Rik	1.6	2.6	2.5	3.4	1.8	2.5	1	1.6	3.2	2.5	1.7	4.6	1.6	3.3	2.8
2010002M12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
2010003O02Rik	4.4	5.7	5.3	6.1	5.6	5.3	5.9	4.5	6.5	5.7	5.4	6.6	5.8	6.8	6.3
2010012O05Rik	2	2.4	2.3	2.3	2.6	2.3	2.8	2.3	2.6	2	2.1	2.2	3.4	2.2	1.6
2010015L04Rik	2	2	1.4	1.5	1.6	1.7	1.7	1.8	2.2	1.5	2.2	0.9	1.3	2.2	1.6
2010107E04Rik	8.8	10.1	10	9.9	10.1	10	10.2	10	10.2	10.3	10.5	10.2	10.6	10.5	10.6
2010107G23Rik	0.9	2.3	2.1	2.3	1.7	2.3	1.2	2.3	1.9	1.9	0.5	2.3	1.6	2.3	0
2010109A12Rik	1.5	0	0	0	0	0.5	0	0.9	2.2	0	0	0	0	0.8	0
2010111I01Rik	0.9	1	1.1	1.4	1.3	1.6	1.5	1.8	1.4	1.9	1.7	2.7	1.3	1.1	1.8
2010204K13Rik	4.9	5.5	5.6	5.6	5.6	5.7	5.5	5.7	6.1	5.7	5.8	5.7	6	6.2	6.5
2010315B03Rik	0.4	0.7	0.9	0	0.6	0.4	0.2	0.8	0	0.6	0	1.6	0	0	1
2010320M18Rik	1.1	3.1	3	3.4	2.9	2.5	2.7	1.5	1.7	3.2	3.4	1.7	3.2	3	3.3
2200002D01Rik	1.6	2.3	3.2	1.7	3.1	1.4	2.9	1	3.4	2.2	3.8	2.3	3.3	3.8	1.8
2200002J24Rik	0	0	2.2	0	1.1	0	0	0	0	0.8	0.6	0	0	0	0
2210013O21Rik	3.7	3.8	4.3	3.1	4.1	3.5	3.9	3.8	4.2	4.1	4	3.8	4.5	4.3	4.4
2210015D19Rik	0.9	0.7	2.2	2.6	2.1	2.4	2	2.2	1	2.5	1.8	1.7	2.2	2	2.2
2210016F16Rik	2.6	2.4	2.6	3.4	2.7	3.2	2.8	2.9	3.4	3.4	2.9	2.7	2.7	4.2	3.7
2210016L21Rik	3.2	4.4	4.7	4.5	4.6	4.4	4.4	4.3	4.4	4.8	4.6	4.1	4.5	4.5	4.6
2210018M11Rik	1.4	2.3	1.8	1.9	2	2	2.2	2	2.7	2.6	2.6	2.6	2.6	2.6	2.3
2210019I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2210039B01Rik	3.8	3.7	3.3	3.4	3.4	3.5	3.5	3.6	3.2	3.5	3.2	2.8	3.3	3.7	3.5
2210404J11Rik	2	1.1	2.7	1.9	2.3	1.4	1.9	0.9	1.7	2.8	2.3	2.2	2.8	2.9	1.8
2210404O07Rik	0	0	0	0	0	0	0	0	1.4	1.3	0.7	1.7	1.4	0	0
2210404O09Rik	1	0.4	1.4	2.3	1.6	2	1.8	1.6	2.1	1.4	2.2	0.8	1.4	2.1	2
2210408I21Rik	1.2	2	1.6	2.3	1.7	2.2	1.8	2.1	1.2	1.8	2.1	2.1	2.2	1.6	2.1
2210417K05Rik	0	0	0.9	0	0.5	0	0	0	1.4	0	1.5	0	0.9	1.3	0
2300009A05Rik	3.6	3.2	4.5	3.2	4.2	3.4	3.8	3.6	3.3	3.5	3.9	3.8	2.8	3.5	3
2310002F09Rik	0	0	1.1	0	0.6	0.1	0	0.2	0	0	0	0	0	0	0
2310003H01Rik	1.4	1.2	0.7	1	0.4	1.1	0.1	1.2	0.8	0.7	1.1	1.1	0.4	1	2
2310008H04Rik	1.5	1.7	1.9	1.7	2.2	1.8	2.4	1.8	2.1	2.4	2.4	2.2	2.6	2.5	2.7
2310008H09Rik	3.6	4.9	5	5.2	5	5	5	4.8	5	5.1	5.1	5.3	5.4	5.3	5.1
2310009A05Rik	5.3	5.2	3.9	5.4	4.2	4.7	4.4	4	5.4	4.7	4.9	4.7	5	5.8	5.9
